ano,dia,n_questao,texto
2012,2,QUESTÃO 37,"As plataformas ou crátons correspondem aos 
terrenos mais antigos e arrasados por muitas fases 
de erosão. Apresentam uma grande complexidade 
litológica, prevalecendo as rochas metamórficas muito 
antigas (Pré-Cambriano Médio e Inferior). Também 
ocorrem rochas intrusivas antigas e resíduos de rochas 
sedimentares. São três as áreas de plataforma de 
crátons no Brasil: a das Guianas, a Sul-Amazônica e a 
do São Francisco.
ROSS, J. L. S. Geografia do Brasil. São Paulo: Edusp, 1998.
As regiões cratônicas das Guianas e a Sul-Amazônica 
têm como arcabouço geológico vastas extensões de 
escudos cristalinos, ricos em minérios, que atraíram 
a ação de empresas nacionais e estrangeiras do 
setor de mineração e destacam-se pela sua história 
geológica por
A apresentarem áreas de intrusões graníticas, ricas em 
jazidas minerais (ferro, manganês).
B corresponderem ao principal evento geológico do 
Cenozoico no território brasileiro.
C apresentarem áreas arrasadas pela erosão, que 
originaram a maior planície do país.
D possuírem em sua extensão terrenos cristalinos ricos 
em reservas de petróleo e gás natural.
E serem esculpidas pela ação do intemperismo físico, 
decorrente da variação de temperatura."
2013,1,QUESTÃO 44,"A escravidão não há de ser suprimida no Brasil por uma 
guerra servil, muito menos por insurreições ou atentados 
locais. Não deve sê-lo, tampouco, por uma guerra civil, 
como o foi nos Estados Unidos. Ela poderia desaparecer, 
talvez, depois de uma revolução, como aconteceu na 
França, sendo essa revolução obra exclusiva da população 
livre. É no Parlamento e não em fazendas ou quilombos 
do interior, nem nas ruas e praças das cidades, que se há 
de ganhar, ou perder, a causa da liberdade.
NABUCO, J. O abolicionismo [1883]. Rio de Janeiro: Nova Fronteira; 
São Paulo: Publifolha, 2000 (adaptado).
No texto, Joaquim Nabuco defende um projeto político 
sobre como deveria ocorrer o fim da escravidão no Brasil, 
no qual
A copiava o modelo haitiano de emancipação negra.
B incentivava a conquista de alforrias por meio de 
ações judiciais.
C optava pela via legalista de libertação.  
D priorizava a negociação em torno das indenizações 
aos senhores.
E antecipava a libertação paternalista dos cativos."
2014,2,QUESTÃO 92,"If You Can’t Master English, Try Globish 
PARIS — It happens all the time: during an airport delay the man to the left, a Korean perhaps, starts talking to the 
man opposite, who might be Colombian, and soon they are chatting away in what seems to be English. But the native 
English speaker sitting between them cannot understand a word.
They don’t know it, but the Korean and the Colombian are speaking Globish, the latest addition to the 6,800 
languages that are said to be spoken across the world. Not that its inventor, Jean-Paul Nerrière, considers it a proper 
language.
“It is not a language, it is a tool,” he says. “A language is the vehicle of a culture. Globish doesn’t want to be that at 
all. It is a means of communication.”
Nerrière doesn’t see Globish in the same light as utopian efforts such as Kosmos, Volapuk, Novial or staunch 
Esperanto. Nor should it be confused with barbaric Algol (for Algorithmic language). It is a sort of English lite: a means 
of simplifying the language and giving it rules so it can be understood by all.
BLUME, M. Disponível em: www.nytimes.com. Acesso em: 28 out. 2013 (fragmento).
Considerando as ideias apresentadas no texto, o Globish (Global English) é uma variedade da língua inglesa que
A tem status
B facilita o entendimento entre o falante nativo e o não nativo.
C tem as mesmas características de projetos utópicos como o esperanto.
D altera a estrutura do idioma para possibilitar a comunicação internacional.
E apresenta padrões de fala idênticos aos da variedade usada pelos falantes nativos.
*AMAR25DOM3*
2014"
2015,1,QUESTÃO 20,"Bandeira do Brasil, és hoje a única. Hasteada a esta 
hora em todo o território nacional, única e só, não há lugar 
outros símbolos. Os brasileiros se reuniram em torno do 
Brasil e decretaram desta vez com determinação de não 
consentir que a discórdia volte novamente a dividi-lo!
Discurso do Ministro da Justiça Francisco Campos na cerimônia da festa da bandeira, em novembro 
de 1937. Apud OLIVEN, G. R. A parte e o todo: a diversidade cultural do Brasil Nação. 
Petrópolis: Vozes, 1992.
O discurso proferido em uma celebração em que as 
bandeiras estaduais eram queimadas diante da bandeira 
nacional revela o pacto nacional proposto pelo Estado 
Novo, que se associa à
A supressão das diferenças socioeconômicas entre as 
regiões do Brasil, priorizando as regiões estaduais 
carentes.
B orientação do regime quanto ao reforço do 
federalismo, espelhando-se na experiência política 
norte-americana.
C adoção de práticas políticas autoritárias, considerando 
a contenção dos interesses regionais dispersivos.
D propagação de uma cultura política avessa aos ritos 
cívicos, cultivados pela cultura regional brasileira.
E defesa da unidade do território nacional, ameaçado 
por movimentos separatistas contrários à política 
varguista."
2016,2,QUESTÃO 165,"Sob a orientação de um mestre de obras, João 
e Pedro trabalharam na reforma de um edifício. João 
efetuou reparos na parte hidráulica nos andares 1, 3, 5, 7, 
e assim sucessivamente, de dois em dois andares. Pedro 
trabalhou na parte elétrica nos andares 1, 4, 7, 10, e assim 
sucessivamente, de três em três andares. Coincidentemente, 
terminaram seus trabalhos no último andar. Na conclusão 
da reforma, o mestre de obras informou, em seu relatório, 
o número de andares do edifício. Sabe-se que, ao longo 
da execução da obra, em exatamente 20 andares, foram 
realizados reparos nas partes hidráulica e elétrica por João 
e Pedro.
Qual é o número de andares desse edifício?
A 40
B 60
C 100
D 115
E 120"
2012,2,QUESTÃO 11,"Que é ilegal a faculdade que se atribui à autoridade 
real para suspender as leis ou seu cumprimento.
Que é ilegal toda cobrança de impostos para a 
Coroa sem o concurso do Parlamento, sob pretexto 
de prerrogativa, ou em época e modo diferentes dos 
designados por ele próprio.
Que é indispensável convocar com frequência os 
Parlamentos para satisfazer os agravos, assim como para 
corrigir, afirmar e conservar leis.
Declaração de Direitos. Disponível em: http://disciplinas.stoa.usp.br.
Acesso em: 20 dez. 2011 (adaptado).
No documento de 1689, identifica-se uma particularidade 
da Inglaterra diante dos demais Estados europeus na 
Época Moderna. A peculiaridade inglesa e o regime 
político que predominavam na Europa continental estão 
indicados, respectivamente, em:
A Redução da influência do papa – Teocracia.
B Limitação do poder do soberano – Absolutismo.
C Ampliação da dominação da nobreza – República.
D Expansão da força do presidente – Parlamentarismo.
E Restrição da competência do congresso – 
Presidencialismo.
*AZUL75SAB4*"
2017,2,QUESTÃO 153,"A manchete demonstra que o transporte de grandes 
cargas representa cada vez mais preocupação quando 
feito em vias urbanas.
Caminhão entala em viaduto no Centro
Um caminhão de grande porte entalou embaixo do 
viaduto no cruzamento das avenidas Borges de Medeiros 
e Loureiro da Silva no sentido Centro-Bairro, próximo à 
Ponte de Pedra, na capital. Esse veículo vinha de São 
Paulo para Porto Alegre e transportava três grandes 
tubos, conforme ilustrado na foto.
Disponível em: www.caminhoes-e-carretas.com. Acesso em: 21 maio 2012 (adaptado).
Considere que o raio externo de cada cano da imagem 
seja 0,60 m e que eles estejam em cima de uma carroceria 
cuja parte superior está a 1,30 m do solo. O desenho 
representa a vista traseira do empilhamento dos canos.
0,60 m
A margem de segurança recomendada para que 
um veículo passe sob um viaduto é que a altura total do 
veículo com a carga seja, no mínimo, 0,50 m menor do 
que a altura do vão do viaduto.
Considere 1,7 como aproximação para 3 .
Qual deveria ser a altura mínima do viaduto, em metro, 
para que esse caminhão pudesse passar com segurança 
sob seu vão? 
A 2,82
B 3,52
C 3,70
D 4,02
E 4,20"
2016,1,QUESTÃO 29,"O conceito de função social da cidade incorpora a 
organização do espaço físico como fruto da regulação 
social, isto é, a cidade deve contemplar todos os seus 
moradores e não somente aqueles que estão no mercado 
formal da produção capitalista da cidade. A tradição dos 
sempre partiram do pressuposto de que a cidade não tem 
divisões entre os incluídos e os excluídos socialmente.
QUINTO JR., L. P. Nova legislação urbana e os velhos fantasmas.
Estudos Avançados (USP), n. 47, 2003 (adaptado).
Uma política governamental que contribui para viabilizar a 
função social da cidade, nos moldes indicados no texto, é a
A
periféricos.
B implantação de centros comerciais em eixos 
rodoviários.
C proibição de construções residenciais em regiões 
íngremes.
D disseminação de equipamentos culturais em locais 
turísticos.
E desregulamentação do setor imobiliário em áreas 
favelizadas."
2018,2,QUESTÃO 102,"vermelho para pinturas de quadros e murais. Esse 
pigmento, conhecido como vermilion, escurece com 
o passar dos anos, fenômeno cuja origem é alvo de 
vermilion
seria catalisada por íon cloreto presente na umidade do ar.
. Disponível em: www.chemistryworld.com. 
Segundo a hipótese proposta, o íon cloreto atua na 
vermilion
A reagindo como agente oxidante.
B deslocando o equilíbrio químico.
C
D precipitando cloreto de mercúrio.
E absorvendo a energia da luz visível."
2019,2,Questão 174,"A taxa de urbanização de um município é dada pela razão entre a população urbana e a população total do 
município (isto é, a soma das populações rural e urbana). Os gráficos apresentam, respectivamente, a população 
urbana e a população rural de cinco municípios (I, II, III, IV, V) de uma mesma região estadual. Em reunião 
entre o governo do estado e os prefeitos desses municípios, ficou acordado que o município com maior taxa de 
urbanização receberá um investimento extra em infraestrutura.
14 000
12 000
10 000
8 000
6 000
4 000
2 000
8 000
10 000
12 000
I II III IV V
0
População rural
4 000
5 000
Segundo o acordo, qual município receberá o investimento extra?
A I
B II
C III
D IV
E V
14 000
12 000
10 000
8 000
6 000
4 000
2 000
0
16 000
18 000
20 000
População urbana
8 000
10 000
11 000
18 000 17 000
I II III IV V
*DO0725AZ28*"
