ano,dia,n_questao,texto
2017,2,QUESTÃO 128,"A retina é um tecido sensível à luz, localizado na parte 
posterior do olho, onde ocorre o processo de formação 
de imagem. Nesse tecido, encontram-se vários tipos 
celulares específicos. Um desses tipos celulares são os 
cones, os quais convertem os diferentes comprimentos 
de onda da luz visível em sinais elétricos, que são 
transmitidos pelo nervo óptico até o cérebro.
Disponível em: www.portaldaretina.com.br. Acesso em: 13 jun. 2012 (adaptado).
Em relação à visão, a degeneração desse tipo celular irá
A comprometer a capacidade de visão em cores.
B impedir a projeção dos raios luminosos na retina.
C provocar a formação de imagens invertidas na retina.
D causar dificuldade de visualização de objetos próximos.
E acarretar a perda da capacidade de alterar o diâmetro 
da pupila.
*DO0725AZ13*"
2018,2,QUESTÃO 135,"química de 1918 pelo desenvolvimento de um processo 
3
). Em seu discurso 
dizendo que:
conhecido que um suprimento de nitrogênio é uma 
necessidade básica para o aumento das safras de 
alimentos; entretanto, também se sabia que as plantas 
que é o principal constituinte da atmosfera. Elas precisam 
Economias agrícolas basicamente mantêm o balanço 
do nitrogênio ligado. No entanto, com o advento da era 
da qual foi retirado.
Isso tem gerado a necessidade econômica mundial 
pessoas que, com seus próprios corpos, fertilizam o solo 
que cultivam.
Desde a metade do último século, nós vínhamos 
aproveitando o suprimento de nitrogênio do salitre que 
a natureza tinha depositado nos desertos montanhosos 
do Chile. Comparando o rápido crescimento da demanda 
claro que em meados do século atual uma emergência 
seríssima seria inevitável, a menos que a química 
encontrasse uma saída.”
The Synthesis of Ammonia from its Elements.
De acordo com os argumentos de Haber, qual fenômeno 
teria provocado o desequilíbrio no “balanço do nitrogênio 
ligado”?
A O esgotamento das reservas de salitre no Chile.
B
mineral.
C
agrícolas.
D
as cidades.
E A necessidade das plantas de absorverem sais de 
nitrogênio disponíveis no solo.
*DO0725AZ15*
MATEMÁTICA E SUAS TECNOLOGIAS"
2019,1,Questão 26,"TEXTO I
O Estatuto do Idoso completou 15 anos em 2018 e só no primeiro semestre o Disque 100 recebeu 16 mil 
denúncias de violação de direitos dos idosos em todo o País.
Para especialistas da área, o aumento no número de denúncias pode ser consequência do encorajamento dos 
mais velhos na busca pelos direitos. Mas também pode refletir uma onda crescente de violência na sociedade e 
dentro das próprias famílias.
Políticas públicas mais eficazes no atendimento ao idoso são o mínimo que um país deve estabelecer. O Brasil 
está ficando para trás e é preciso levar em consideração que o País envelhece (tendência mundial) sem estar 
preparado para arcar com os desafios, como criar uma rede de proteção, preparar os serviços de saúde pública e 
dar suporte às famílias que precisam cuidar de seus idosos dependentes.
Disponível em: www.folhadelondrina.com.br. Acesso em: 9 dez. 2018 (adaptado).
 TEXTO II
Disponível em: www.brasil.gov.br. Acesso em: 9 dez. 2018.
Na comparação entre os textos, conclui-se que as regras do Estatuto do Idoso
A apresentam vantagens em relação às de outros países.
B são ignoradas pelas famílias responsáveis por idosos.
C alteram a qualidade de vida das pessoas com mais de 60 anos.
D precisam ser revistas em razão do envelhecimento da população.
E contrastam com as condições de vida proporcionadas pelo País."
2013,1,QUESTÃO 78,"A contaminação pelo vírus da rubéola é especialmente 
preocupante em grávidas, devido à síndrome da rubéola 
congênita (SRC), que pode levar ao risco de aborto 
e malformações congênitas. Devido a campanhas de 
vacinação específicas, nas últimas décadas houve uma 
grande diminuição de casos de rubéola entre as mulheres, 
e, a partir de 2008, as campanhas se intensificaram e têm 
dado maior enfoque à vacinação de homens jovens.
BRASIL. Brasil livre da rubéola: campanha nacional de vacinação para eliminação da 
rubéola. Brasília: Ministério da Saúde, 2009 (adaptado).
Considerando a preocupação com a ocorrência da SRC, 
as campanhas passaram a dar enfoque à vacinação dos 
homens, porque eles
A ficam mais expostos a esse vírus.
B transmitem o vírus a mulheres gestantes.
C passam a infecção diretamente para o feto.
D transferem imunidade às parceiras grávidas.
E são mais sucetíveis a esse vírus que as mulheres."
2019,2,Questão 92,"As redes de alta tensão para transmissão de energia 
elétrica geram campo magnético variável o suficiente 
para induzir corrente elétrica no arame das cercas. 
Tanto os animais quanto os funcionários das 
propriedades rurais ou das concessionárias de energia 
devem ter muito cuidado ao se aproximarem de uma 
cerca quando esta estiver próxima a uma rede de alta 
tensão, pois, se tocarem no arame da cerca, poderão 
sofrer choque elétrico.
Para minimizar este tipo de problema, deve-se:
A Fazer o aterramento dos arames da cerca.
B Acrescentar fusível de segurança na cerca.
C Realizar o aterramento da rede de alta tensão.
D Instalar fusível de segurança na rede de alta tensão.
E Utilizar fios encapados com isolante na rede 
de alta tensão."
2017,1,QUESTÃO 52,"A configuração do espaço urbano da região do 
Entorno do Distrito Federal assemelha-se às demais 
aglomerações urbanas e regiões metropolitanas do país, 
onde é facilmente identificável a constituição de um 
centro dinâmico e desenvolvido, onde se concentram 
as oportunidades de trabalho e os principais serviços, 
e a constituição de uma região periférica concentradora 
de população de baixa renda, com acesso restrito às 
principais atividades com capacidade de acumulação 
e produtividade, e aos serviços sociais e infraestrutura 
básica.
CAIADO, M. C. A migração intrametropolitana e o processo de estruturação do espaço urbano 
da Região Integrada de Desenvolvimento do Distrito Federal e Entorno. In: HOGAN, D. J. et al. 
(Org.). Migração e ambiente nas aglomerações urbanas. Campinas: Nepo/Unicamp, 2002.
A organização interna do aglomerado urbano descrito é 
resultado da ocorrência do processo de
A  expansão vertical.
B  polarização nacional. 
C  emancipação municipal.
D  segregação socioespacial.
E  desregulamentação comercial."
2012,1,QUESTÃO 116,"HAGAR  DIK BROWNE
VEJA QUANTOS
TUBARÕES 
ESTÃO SEGUINDO
A GENTE!
É COMO SE ELES
SOUBESSEM QUE ALGO
RUIM VAI ACONTECER!
BROWNE, D. Folha de S. Paulo, 13 ago. 2011.
As palavras e as expressões são mediadoras dos 
sentidos produzidos nos textos. Na fala de Hagar, a 
expressão “é como se” ajuda a conduzir o conteúdo 
enunciado para o campo da
A conformidade, pois as condições meteorológicas 
evidenciam um acontecimento ruim.
B reflexibilidade, pois o personagem se refere aos 
tubarões usando um pronome reflexivo.
C condicionalidade, pois a atenção dos personagens é 
a condição necessária para a sua sobrevivência.
D possibilidade, pois a proximidade dos tubarões leva à 
suposição do perigo iminente para os homens.
E impessoalidade, pois o personagem usa a terceira 
pessoa para expressar o distanciamento dos fatos."
2018,2,QUESTÃO 115,"Amazônia, podem produzir uma corrente elétrica quando 
se encontram em perigo. Um poraquê de 1 metro de 
comprimento, em perigo, produz uma corrente em torno 
O quadro apresenta a potência aproximada de 
equipamentos elétricos.
Equipamento elétrico Potência aproximada (watt)
Exaustor 150
Computador 300
Aspirador de pó 600
Churrasqueira elétrica 
Secadora de roupas 3 600
O equipamento elétrico que tem potência similar àquela 
A exaustor.
B computador.
C aspirador de pó.
D churrasqueira elétrica.
E secadora de roupas.
*DO0725AZ8*"
2014,1,QUESTÃO 21,"Estatuto da Frente Negra Brasileira (FNB)
Art. 1º - Fica fundada nesta cidade de São Paulo, para 
se irradiar por todo o Brasil, a Frente Negra Brasileira, 
união política e social da Gente Negra Nacional, para a 
da sua atividade material e moral no passado e para 
reivindicação de seus direitos sociais e políticos, atuais, 
na Comunhão Brasileira.
, 4 nov. 1931.
Quando foi fechada pela ditadura do Estado Novo, em 
1937, a FNB caracterizava-se como uma organização
A política, engajada na luta por direitos sociais para a 
população negra no Brasil.
B
brasileiros depois da abolição.
C paramilitar, voltada para o alistamento de negros na 
luta contra as oligarquias regionais.
D democrático-liberal, envolvida na Revolução 
Constitucionalista conduzida a partir de São Paulo.
E internacionalista, ligada à exaltação da identidade 
das populações africanas em situação de diáspora."
2019,2,Questão 114,"Na família Retroviridae encontram-se diversos vírus 
que infectam aves e mamíferos, sendo caracterizada 
pela produção de DNA a partir de uma molécula de RNA. 
Alguns retrovírus infectam exclusivamente humanos, 
não necessitando de outros hospedeiros, reservatórios 
ou vetores biológicos. As infecções ocasionadas 
por esses vírus vêm causando mortes e grandes 
prejuízos ao desenvolvimento social e econômico. 
Nesse contexto, pesquisadores têm produzido 
medicamentos que contribuem para o tratamento 
dessas doenças.
Que avanços tecnológicos têm contribuído para o 
tratamento dessas infecções virais?
A Melhoria dos métodos de controle dos vetores 
desses vírus.
B Fabricação de soros mutagênicos para combate 
desses vírus.
C Investimento da indústria em equipamentos de 
proteção individual.
D Produção de vacinas que evitam a infecção das 
células hospedeiras.
E Desenvolvimento de antirretrovirais que dificultam 
a reprodução desses vírus."
