ano,dia,n_questao,texto
2014,2,QUESTÃO 177,"Os incas desenvolveram uma maneira de registrar 
quantidades e representar números utilizando um sistema 
de numeração decimal posicional: um conjunto de cordas 
com nós denominado . O era feito de uma 
corda matriz, ou principal (mais grossa que as demais), 
diferentes tamanhos e cores (cordas pendentes). De acordo 
centenas e milhares. Na Figura 1, o representa o 
número decimal 2 453. Para representar o “zero” em qualquer 
posição, não se coloca nenhum nó.
Corda principal
Corda
pendente
Milhares
Centenas
Dezenas
Unidades
Quipus
Figura 1 Figura 2
Disponível em: www.culturaperuana.com.br. Acesso em: 13 dez. 2012.
O número da representação do da Figura 2, em 
base decimal, é
A 364.
B 463.
C 3 064.
D 3 640.
E 4 603."
2017,1,QUESTÃO 69,"A instalação de uma refinaria obedece a diversos 
fatores técnicos. Um dos mais importantes é a 
localização, que deve ser próxima tanto dos centros 
de consumo como das áreas de produção. A Petrobras 
possui refinarias estrategicamente distribuídas pelo país. 
Elas são responsáveis pelo processamento de milhões 
de barris de petróleo por dia, suprindo o mercado com 
derivados que podem ser obtidos a partir de petróleo 
nacional ou importado.
MURTA, A. L. S. Energia: o vício da civilização; crise energética e alternativas sustentáveis. 
Rio de Janeiro: Garamond, 2011.
A territorialização de uma unidade produtiva depende de 
diversos fatores locacionais. A partir da leitura do texto, 
o fator determinante para a instalação das refinarias de 
petróleo é a proximidade a
A  sedes de empresas petroquímicas.
B  zonas de importação de derivados.
C  polos de desenvolvimento tecnológico.
D  áreas de aglomerações de mão de obra.
E  espaços com infraestrutura de circulação."
2014,1,QUESTÃO 18,"Todo homem de bom juízo, depois que tiver realizado 
sua viagem, reconhecerá que é um milagre manifesto ter 
podido escapar de todos os perigos que se apresentam 
em sua peregrinação; tanto mais que há tantos outros 
acidentes que diariamente podem aí ocorrer que seria 
coisa pavorosa àqueles que aí navegam querer pô-los 
todos diante dos olhos quando querem empreender 
suas viagens.
J. P. T. Histoire de plusieurs voyages aventureux. 1600. In: DELUMEAU, J. História do 
medo no Ocidente: 1300-1800. São Paulo: Cia. das Letras, 2009 (adaptado).
Esse relato, associado ao imaginário das viagens 
marítimas da época moderna, expressa um sentimento de
A gosto pela aventura.
B fascínio pelo fantástico.
C temor do desconhecido.
D interesse pela natureza.
E purgação dos pecados."
2018,2,QUESTÃO 147,"O colesterol total de uma pessoa é obtido pela 
soma da taxa do seu “colesterol bom” com a taxa do 
seu “colesterol ruim”. Os exames periódicos, realizados 
em um paciente adulto, apresentaram taxa normal 
de “colesterol bom”, porém, taxa do “colesterol ruim” 
Taxa de LDL (mg/dL)
Ótima Menor do que 100
Próxima de ótima
De 130 a 159
Alta De 160 a 189
Muito alta 190 ou mais
O paciente, seguindo as recomendações médicas 
No mês seguinte, realizou novo exame e constatou uma 
De acordo com o resultado do segundo exame, a 
A ótima.
B próxima de ótima.
C limite.
D alta.
E muito alta."
2014,1,QUESTÃO 24,"Alguns dos desejos são naturais e necessários; 
outros, naturais e não necessários; outros, nem 
naturais nem necessários, mas nascidos de vã opinião. 
Os desejos que não nos trazem dor se não satisfeitos 
não são necessários, mas o seu impulso pode ser 
facilmente desfeito, quando é difícil obter sua satisfação 
ou parecem geradores de dano.
EPICURO DE SAMOS. Doutrinas principais. In: SANSON, V. F. .
Rio de Janeiro: Eduff, 1974.
uro, o homem tem 
A alcançar o prazer moderado e a felicidade.
B valorizar os deveres e as obrigações sociais.
C aceitar o sofrimento e o rigorismo da vida com 
resignação.
D
divindade.
E defender a indiferença e a impossibilidade de se 
atingir o saber."
2015,2,QUESTÃO 163,"Para resolver o problema de abastecimento de água 
foi decidida, numa reunião do condomínio, a construção de 
uma nova cisterna. A cisterna atual tem formato cilíndrico, 
com 3 m de altura e 2 m de diâmetro, e estimou-se que a 
nova cisterna deverá comportar 81 m3 de água, mantendo 
o formato cilíndrico e a altura da atual. Após a inauguração 
da nova cisterna a antiga será desativada. Utilize 3,0 como 
aproximação para .
Qual deve ser o aumento, em metros, no raio da cisterna 
para atingir o volume desejado?
A 0,5
B 1,0
C 2,0
D 3,5
E 8,0
2015

*AMAR25DOM27*"
2013,1,QUESTÃO 46,"Músculos artificiais são dispositivos feitos com 
plásticos inteligentes que respondem a uma corrente 
elétrica com um movimento mecânico. A oxidação e 
redução de um polímero condutor criam cargas positivas 
e/ou negativas no material, que são compensadas com a 
inserção ou expulsão de cátions ou ânions. Por exemplo, 
na figura os filmes escuros são de polipirrol e o filme branco 
é de um eletrólito polimérico contendo um sal inorgânico. 
Quando o polipirrol sofre oxidação, há a inserção de 
ânions para compensar a carga positiva no polímero e o 
filme se expande. Na outra face do dispositivo o filme de 
polipirrol sofre redução, expulsando ânions, e o filme se 
contrai. Pela montagem, em sanduíche, o sistema todo 
se movimenta de forma harmônica, conforme mostrado 
na figura.
+
-
+
-
Corrente
elétrica
Corrente
elétrica
Sem corrente
elétrica
Ar
Ar
polipirrol
polipirrol
Eletrólito
polimérico
DE PAOLI, M. A. Cadernos Temáticos de Química Nova na Escola, 
São Paulo, maio 2001 (adaptado).
A camada central de eletrólito polimérico é importante 
porque
A absorve a irradiação de partículas carregadas, 
emitidas pelo aquecimento elétrico dos filmes de 
polipirrol.
B permite a difusão dos íons promovida pela aplicação 
de diferença de potencial, fechando o circuito elétrico.
C mantém um gradiente térmico no material para 
promover a dilatação/contração térmica de cada filme 
de polipirrol.
D permite a condução de elétrons livres, promovida 
pela aplicação de diferença de potencial, gerando 
corrente elétrica.
E promove a polarização das moléculas poliméricas, o 
que resulta no movimento gerado pela aplicação de 
diferença de potencial."
2017,2,QUESTÃO 153,"A manchete demonstra que o transporte de grandes 
cargas representa cada vez mais preocupação quando 
feito em vias urbanas.
Caminhão entala em viaduto no Centro
Um caminhão de grande porte entalou embaixo do 
viaduto no cruzamento das avenidas Borges de Medeiros 
e Loureiro da Silva no sentido Centro-Bairro, próximo à 
Ponte de Pedra, na capital. Esse veículo vinha de São 
Paulo para Porto Alegre e transportava três grandes 
tubos, conforme ilustrado na foto.
Disponível em: www.caminhoes-e-carretas.com. Acesso em: 21 maio 2012 (adaptado).
Considere que o raio externo de cada cano da imagem 
seja 0,60 m e que eles estejam em cima de uma carroceria 
cuja parte superior está a 1,30 m do solo. O desenho 
representa a vista traseira do empilhamento dos canos.
0,60 m
A margem de segurança recomendada para que 
um veículo passe sob um viaduto é que a altura total do 
veículo com a carga seja, no mínimo, 0,50 m menor do 
que a altura do vão do viaduto.
Considere 1,7 como aproximação para 3 .
Qual deveria ser a altura mínima do viaduto, em metro, 
para que esse caminhão pudesse passar com segurança 
sob seu vão? 
A 2,82
B 3,52
C 3,70
D 4,02
E 4,20"
2013,2,QUESTÃO 117,"Mesmo tendo a trajetória do movimento interrompida 
com a prisão de seus dois líderes, o tropicalismo não 
deixou de cumprir seu papel de vanguarda na música 
popular brasileira. A partir da década de 70 do século 
passado, em lugar do produto musical de exportação 
de nível internacional prometido pelos baianos com a 
“retomada da linha evolutória”, instituiu-se nos meios de 
comunicação e na indústria do lazer uma nova era musical.
TINHORÃO, J. R. Pequena história da música popular: da modinha ao tropicalismo. 
São Paulo: Art, 1986 (adaptado).
A nova era musical mencionada no texto evidencia um 
gênero que incorporou a cultura de massa e se adequou 
à realidade brasileira. Esse gênero está representado 
pela obra cujo trecho da letra é:
A A estrela d'alva / No céu desponta / E a lua anda tonta / 
Com tamanho esplendor. (As pastorinhas, Noel Rosa e 
João de Barro)
B Hoje / Eu quero a rosa mais linda que houver / Quero 
a primeira estrela que vier / Para enfeitar a noite do 
meu bem. (A noite do meu bem, Dolores Duran)
C No rancho fundo / Bem pra lá do fim do mundo / Onde 
a dor e a saudade / Contam coisas da cidade. (No 
rancho fundo, Ary Barroso e Lamartine Babo)
D Baby Baby / Não adianta chamar / Quando alguém 
está perdido / Procurando se encontrar. (Ovelha 
negra, Rita Lee)
E Pois há menos peixinhos a nadar no mar / Do que 
os beijinhos que eu darei / Na sua boca. (Chega de 
saudade, Tom Jobim e Vinicius de Moraes)"
2012,1,QUESTÃO 148,"Jorge quer instalar aquecedores no seu salão 
de beleza para melhorar o conforto dos seus clientes 
no inverno. Ele estuda a compra de unidades de dois 
tipos de aquecedores: modelo A, que consome 600 g/h 
(gramas por hora) de gás propano e cobre 35 m2 de área, 
ou modelo B, que consome 750 g/h de gás propano e 
cobre 45 m2 de área. O fabricante indica que o aquecedor 
deve ser instalado em um ambiente com área menor do 
que a da sua cobertura. Jorge vai instalar uma unidade 
por ambiente e quer gastar o mínimo possível com gás. 
A área do salão que deve ser climatizada encontra-se 
na planta seguinte (ambientes representados por três 
retângulos e um trapézio).
9 m
4 m14 m
7 m
II
I
IVIII
5 m
8 m
Avaliando-se todas as informações, serão necessários
A quatro unidades do tipo A e nenhuma unidade do tipo B.
B três unidades do tipo A e uma unidade do tipo B.
C duas unidades do tipo A e duas unidades do tipo B.
D uma unidade do tipo A e três unidades do tipo B.
E nenhuma unidade do tipo A e quatro unidades do tipo B."
