ano,dia,n_questao,texto
2017,1,QUESTÃO 64,"Uma sociedade é uma associação mais ou menos 
autossuficiente de pessoas que em suas relações mútuas 
reconhecem certas regras de conduta como obrigatórias 
e que, na maioria das vezes, agem de acordo com elas. 
Uma sociedade é bem ordenada não apenas quando 
está planejada para promover o bem de seus membros, 
mas quando é também efetivamente regulada por uma 
concepção pública de justiça. Isto é, trata-se de uma 
sociedade na qual todos aceitam, e sabem que os outros 
aceitam, o mesmo princípio de justiça. 
RAWLS, J. Uma teoria da justiça. São Paulo: Martins Fontes, 1997 (adaptado).
A visão expressa nesse texto do século XX remete a qual 
aspecto do pensamento moderno?
A  A relação entre liberdade e autonomia do Liberalismo.
B  A independência entre poder e moral do Racionalismo.
C  A convenção entre cidadãos e soberano do 
Absolutismo.
D  A dialética entre indivíduo e governo autocrata do 
Idealismo.
E  A contraposição entre bondade e condição selvagem 
do Naturalismo."
2014,1,QUESTÃO 39,"O problema central a ser resolvido pelo Novo 
Regime era a organização de outro pacto de poder que 
de estabilidade. O próprio presidente Campos Sales 
resumiu claramente seu objetivo: “É de lá, dos estados, 
que se governa a República, por cima das multidões 
que tumultuam agitadas nas ruas da capital da União.
A política dos estados é a política nacional”.
CARVALHO, J. M. Os Bestializados: o Rio de Janeiro e a República que não foi. 
São Paulo: Companhia das Letras, 1987 (adaptado).
Nessa citação, o presidente do Brasil no período expressa 
uma estratégia política no sentido de
A governar com a adesão popular.
B atrair o apoio das oligarquias regionais.
C conferir maior autonomia às prefeituras.
D democratizar o poder do governo central.
E"
2014,2,QUESTÃO 126,"Camelôs
Abençoado seja o camelô dos brinquedos de tostão:
O que vende balõezinhos de cor
O macaquinho que trepa no coqueiro
O cachorrinho que bate com o rabo
Os homenzinhos que jogam boxe
A perereca verde que de repente dá um pulo que 
engraçado
E as canetinhas-tinteiro que jamais escreverão coisa 
alguma.
Alegria das calçadas
Uns falam pelos cotovelos:
buscar um
pedaço de banana para eu acender o charuto.
Naturalmente o menino pensará: Papai está malu...”
Outros, coitados, têm a língua atada.
Todos porém sabem mexer nos cordéis como o tino 
ingênuo de
demiurgos de inutilidades.
E ensinam no tumulto das ruas os mitos heroicos da 
meninice...
E dão aos homens que passam preocupados ou tristes 
uma lição de infância.
BANDEIRA, M. Estrela da vida inteira. Rio de Janeiro: Nova Fronteira, 2007.
Uma das diretrizes do Modernismo foi a percepção de 
elementos do cotidiano como matéria de inspiração 
tendência e alcança expressividade porque
A realiza um inventário dos elementos lúdicos 
tradicionais da criança brasileira.
B
dos centros urbanos.
C traduz em linguagem lírica o mosaico de elementos 
D introduz a interlocução como mecanismo de 
construção de uma poética nova.
E constata a condição melancólica dos homens 
distantes da simplicidade infantil."
2014,2,QUESTÃO 154,"O acesso entre os dois andares de uma casa é 
feito através de uma escada circular (escada caracol), 
A, B, C, D, E sobre 
o corrimão estão igualmente espaçados, e os pontos P,
A e E estão em uma mesma reta. Nessa escada, uma 
pessoa caminha deslizando a mão sobre o corrimão do 
ponto A até o ponto D.
A
P
B
EC
D
sobre o piso da casa (plano), do caminho percorrido pela 
mão dessa pessoa é:
A
B
C
D
E"
2019,2,Questão 132,"A maioria das pessoas fica com a visão embaçada 
ao abrir os olhos debaixo dʼágua. Mas há uma exceção: 
o povo moken, que habita a costa da Tailândia. 
Essa característica se deve principalmente à 
adaptabilidade do olho e à plasticidade do cérebro, o 
que significa que você também, com algum treinamento, 
poderia enxergar relativamente bem debaixo dʼágua. 
Estudos mostraram que as pupilas de olhos de 
indivíduos moken sofrem redução significativa debaixo 
dʼágua, o que faz com que os raios luminosos incidam 
quase paralelamente ao eixo óptico da pupila.
GISLÉN, A. et al. Visual Training Improves Underwater Vision in Children. 
Vision Research, n. 46, 2006 (adaptado).
A acuidade visual associada à redução das pupilas é 
fisicamente explicada pela diminuição
A da intensidade luminosa incidente na retina.
B da difração dos feixes luminosos que atravessam 
a pupila.
C da intensidade dos feixes luminosos em uma direção 
por polarização.
D do desvio dos feixes luminosos refratados no interior 
do olho.
E das reflexões dos feixes luminosos no interior 
do olho."
2018,2,QUESTÃO 155,"O remo de assento deslizante é um esporte que faz 
uso de um barco e dois remos do mesmo tamanho.
chamada afastamento.
A
pontos B e C. Esses três pontos formam um triângulo 
ABC cujo ângulo BÂC
O tipo de triângulo com vértices nos pontos A, B e C, no 
A retângulo escaleno.
B acutângulo escaleno.
C acutângulo isósceles.
D obtusângulo escaleno.
E obtusângulo isósceles."
2015,2,QUESTÃO 160,"natação, numa olimpíada, os atletas, em suas respectivas 
raias, obtiveram os seguintes tempos:
Raia 1 2 3 4 5 6 7 8
Tempo
(segundo)
20,90 20,90 20,50 20,80 20,60 20,60 20,90 20,96
A mediana dos tempos apresentados no quadro é
A 20,70.
B 20,77.
C 20,80.
D 20,85.
E 20,90."
2017,1,QUESTÃO 06,"Romanos usavam redes sociais há  
dois mil anos, diz livro
Ao tuitar ou comentar embaixo do post de um de seus 
vários amigos no Facebook, você provavelmente se sente 
privilegiado por viver em um tempo na história em que é 
possível alcançar de forma imediata uma vasta rede de 
contatos por meio de um simples clique no botão “enviar”. 
Você talvez também reflita sobre como as gerações 
passadas puderam viver sem mídias sociais, desprovidas 
da capacidade de verem e serem vistas, de receber, gerar 
e interagir com uma imensa carga de informações. Mas o 
que você talvez não saiba é que os seres humanos usam 
ferramentas de interação social há mais de dois mil anos. 
É o que afirma Tom Standage, autor do livro Writing on the 
Wall — Social Media, The first 2 000 Years (Escrevendo 
no mural — mídias sociais, os primeiros 2 mil anos, em 
tradução livre).
Segundo Standage, Marco Túlio Cícero, filósofo e 
político romano, teria sido, junto com outros membros da 
elite romana, precursor do uso de redes sociais. O autor 
relata como Cícero usava um escravo, que posteriormente 
tornou-se seu escriba, para redigir mensagens em rolos 
de papiro que eram enviados a uma espécie de rede de 
contatos. Estas pessoas, por sua vez, copiavam seu texto, 
acrescentavam seus próprios comentários e repassavam 
adiante. “Hoje temos computadores e banda larga, mas os 
romanos tinham escravos e escribas que transmitiam suas 
mensagens”, disse Standage à BBC Brasil. “Membros 
da elite romana escreviam entre si constantemente, 
comentando sobre as últimas movimentações políticas e 
expressando opiniões.”
Além do papiro, outra plataforma comumente utilizada 
pelos romanos era uma tábua de cera do tamanho e da 
forma de um tablet moderno, em que escreviam recados, 
perguntas ou transmitiam os principais pontos da acta 
diurna, um “jornal” exposto diariamente no Fórum de 
Roma. Essa tábua, o “iPad da Roma Antiga”, era levada 
por um mensageiro até o destinatário, que respondia 
embaixo da mensagem.
NIDECKER, F. Disponível em: www.bbc.co.uk. Acesso em: 7 nov. 2013 (adaptado).
Na reportagem, há uma comparação entre tecnologias 
de comunicação antigas e atuais. Quanto ao gênero 
mensagem, identifica-se como característica que perdura 
ao longo dos tempos o(a)
A  imediatismo das respostas.
B  compartilhamento de informações.
C  interferência direta de outros no texto original.
D  recorrência de seu uso entre membros da elite.
E  perfil social dos envolvidos na troca comunicativa.
*SA0175AZ5*"
2012,1,QUESTÃO 103,"Nós, brasileiros, estamos acostumados a ver juras de 
amor, feitas diante de Deus, serem quebradas por traição, 
interesses financeiros e sexuais. Casais se separam 
como inimigos, quando poderiam ser bons amigos, sem 
traumas. Bastante interessante a reportagem sobre 
separação. Mas acho que os advogados consultados, 
por sua competência, estão acostumados a tratar de 
grandes separações. Será que a maioria dos leitores da 
revista tem obras de arte que precisam ser fotografadas 
antes da separação? Não seria mais útil dar conselhos 
mais básicos? Não seria interessante mostrar que a 
separação amigável não interfere no modo de partilha 
dos bens? Que, seja qual for o tipo de separação, ela não 
vai prejudicar o direito à pensão dos filhos? Que acordo 
amigável deve ser assinado com atenção, pois é bastante 
complicado mudar suas cláusulas? Acho que essas são 
dicas que podem interessar ao leitor médio.
Disponível em: http://revistaepoca.globo.com. Acesso em: 26 fev. 2012 (adaptado).
O texto foi publicado em uma revista de grande circulação 
na seção de carta do leitor. Nele, um dos leitores manifesta-
se acerca de uma reportagem publicada na edição anterior. 
Ao fazer sua argumentação, o autor do texto
A faz uma síntese do que foi abordado na reportagem.
B discute problemas conjugais que conduzem à separação.
C aborda a importância dos advogados em processos 
de separação.
D oferece dicas para orientar as pessoas em processos 
de separação.
E rebate o enfoque dado ao tema pela reportagem, 
lançando novas ideias."
2017,2,QUESTÃO 109,"O fenômeno da piracema (subida do rio) é um 
importante mecanismo que influencia a reprodução 
de algumas espécies de peixes, pois induz o processo 
que estimula a queima de gordura e ativa mecanismos 
hormonais complexos, preparando-os para a reprodução. 
Intervenções antrópicas nos ambientes aquáticos, como 
a construção de barragens, interferem na reprodução 
desses animais.
MALTA, P. Impacto ambiental das barragens hidrelétricas. 
Disponível em: http://futurambiental.com. 
Acesso em: 10 maio 2013 (adaptado).
Essa intervenção antrópica prejudica a piracema porque 
reduz o(a)
A percurso da migração.
B longevidade dos indivíduos.
C disponibilidade de alimentos.
D período de migração da espécie.
E número de espécies de peixes no local."
