ano,dia,n_questao,texto
2014,2,QUESTÃO 91,"Emigrantes
En todo emigrante existen dos posibles actitudes 
vitales: una la de considerar su experiencia como 
aventura pasajera, vivir mental y emocionalmente 
en la patria de origen, cultivando su nostalgia, y 
definir la realidad presente por comparación con el 
mundo que se ha dejado; la otra es vivir el presente 
tal como viene dado, proyectarlo en el futuro, cortar 
raíces y dominar nostalgias, sumergirse en la nueva 
cultura, aprenderla y asimilarla. El drama personal del 
emigrante reside en el hecho de que casi nunca es 
posible esa elección en términos absolutos y, al igual 
que el mestizo, se siente parte de dos mundos sin 
integrarse por completo en uno de ellos con exclusión 
del otro.
DEL CASTILLO, G. C. América hispánica (1492-1892). In: DE LARA, M. T. Historia de 
España. Barcelona: Labor, 1985.
imigrante, o qual, para o autor, tem de lidar com o 
dilema da
A constatação de sua existência no entrelugar.
B instabilidade da vida em outro país.
C ausência de referências do passado.
D apropriação dos valores do outro.
E ruptura com o país de origem."
2014,1,QUESTÃO 81,"Os parasitoides (misto de parasitas e predadores) são 
insetos diminutos que têm hábitos muito peculiares: suas 
larvas podem se desenvolver dentro do corpo de outros 
alimenta de pólen e açúcares. Em geral, cada parasitoide 
ataca hospedeiros de determinada espécie e, por isso, 
esses organismos vêm sendo amplamente usados para o 
controle biológico de pragas agrícolas.
Ciência Hoje, v. 49, n. 291, abr. 2012 (adaptado).
A forma larval do parasitoide assume qual papel nessa 
cadeia alimentar?
A Consumidor primário, pois ataca diretamente uma 
espécie herbívora.
B Consumidor secundário, pois se alimenta diretamente 
dos tecidos da lagarta.
C Organismo heterótrofo de primeira ordem, pois se 
alimenta de pólen na fase adulta. 
D Organismo heterótrofo de segunda ordem, pois 
apresenta o maior nível energético na cadeia.
E Decompositor, pois se alimenta de tecidos do interior 
do corpo da lagarta e a leva à morte.
*AZUL75SAB28*
2014"
2013,2,QUESTÃO 116,"Disponível em: http://orion-oblog.blogspot.com.br. Acesso em: 6 jun. 2012 (adaptado).
O cartaz aborda a questão do aquecimento global. 
A relação entre os recursos verbais e não verbais 
nessa propaganda revela que
A o discurso ambientalista propõe formas radicais de 
resolver os problemas climáticos.
B a preservação da vida na Terra depende de ações de 
dessalinização da água marinha.
C a acomodação da topografia terrestre desencadeia o 
natural degelo das calotas polares.
D o descongelamento das calotas polares diminui a 
quantidade de água doce potável do mundo.
E a agressão ao planeta é dependente da posição 
assumida pelo homem frente aos problemas 
ambientais.
*AMAR25DOM12*
2013"
2015,1,QUESTÃO 80,"Pesticidas são substâncias utilizadas para promover 
o controle de pragas. No entanto, após sua aplicação em 
ambientes abertos, alguns pesticidas organoclorados 
são arrastados pela água até lagos e rios e, ao passar 
pelas guelras dos peixes, podem difundir-se para seus 
tecidos lipídicos e lá se acumularem.
A característica desses compostos, responsável pelo 
processo descrito no texto, é o(a)
A baixa polaridade.
B baixa massa molecular.
C ocorrência de halogênios.
D tamanho pequeno das moléculas.
E presença de hidroxilas nas cadeias.

2015*AZUL75SAB28*"
2015,2,QUESTÃO 153,"As exportações de soja do Brasil totalizaram 
4,129 milhões de toneladas no mês de julho de 2012, 
e registraram um aumento em relação ao mês de julho 
de 2011, embora tenha havido uma baixa em relação 
ao mês de maio de 2012.
Disponível em: www.noticiasagricolas.com.br. Acesso em: 2 ago. 2012.
A quantidade, em quilogramas, de soja exportada pelo 
Brasil no mês de julho de 2012 foi de
A 4,129  103
B 4,129  106
C 4,129  109
D 4,129  1012
E 4,129  1015"
2014,2,QUESTÃO 169,"De acordo com a ONU, da água utilizada diariamente, 
25% são para tomar banho, lavar as mãos e 
escovar os dentes.
33% são utilizados em descarga de banheiro.
27% são para cozinhar e beber.
15% são para demais atividades.
No Brasil, o consumo de água por pessoa chega, em 
média, a 200 litros por dia.
O quadro mostra sugestões de consumo moderado 
de água por pessoa, por dia, em algumas atividades.
Atividade Consumo total de água na atividade (em litros)
Tomar banho 24,0
Dar descarga 18,0
Lavar as mãos 3,2
Escovar os dentes 2,4
Beber e cozinhar 22,0
Se cada brasileiro adotar o consumo de água indicado 
no quadro, mantendo o mesmo consumo nas demais 
atividades, então economizará diariamente, em média, 
em litros de água,
A 30,0.
B 69,6.
C 100,4.
D 130,4.
E 170,0."
2017,1,QUESTÃO 77,"Figura 1
TERRA MAR
MORNO
ALTA      PRESSÃOBAIXA
PRESSÃO
QUENTE
FORMAÇÃO DA BRISA MARINHA
Figura 2
TERRA MAR
MORNO
BAIXA
PRESSÃO
FRIO
ALTA       PRESSÃO
FORMAÇÃO DO  TERRAL
SALGADO-LABOURIAU, M. L. História ecológica da Terra. 
São Paulo: Edgard Blucher, 1994 (adaptado).
Nas imagens constam informações sobre a formação de 
brisas em áreas litorâneas. Esse processo é resultado de
A  uniformidade do gradiente de pressão atmosférica.
B  aquecimento diferencial da superfície.
C  quedas acentuadas de médias térmicas.
D  mudanças na umidade relativa do ar.
E  variações altimétricas acentuadas."
2012,2,QUESTÃO 37,"As plataformas ou crátons correspondem aos 
terrenos mais antigos e arrasados por muitas fases 
de erosão. Apresentam uma grande complexidade 
litológica, prevalecendo as rochas metamórficas muito 
antigas (Pré-Cambriano Médio e Inferior). Também 
ocorrem rochas intrusivas antigas e resíduos de rochas 
sedimentares. São três as áreas de plataforma de 
crátons no Brasil: a das Guianas, a Sul-Amazônica e a 
do São Francisco.
ROSS, J. L. S. Geografia do Brasil. São Paulo: Edusp, 1998.
As regiões cratônicas das Guianas e a Sul-Amazônica 
têm como arcabouço geológico vastas extensões de 
escudos cristalinos, ricos em minérios, que atraíram 
a ação de empresas nacionais e estrangeiras do 
setor de mineração e destacam-se pela sua história 
geológica por
A apresentarem áreas de intrusões graníticas, ricas em 
jazidas minerais (ferro, manganês).
B corresponderem ao principal evento geológico do 
Cenozoico no território brasileiro.
C apresentarem áreas arrasadas pela erosão, que 
originaram a maior planície do país.
D possuírem em sua extensão terrenos cristalinos ricos 
em reservas de petróleo e gás natural.
E serem esculpidas pela ação do intemperismo físico, 
decorrente da variação de temperatura."
2009,1,Questão 48,"Hoje em dia, nas grandes cidades, enterrar os 
mortos é uma prática quase íntima, que diz respeito 
apenas à família. A menos, é claro, que se trate de uma 
personalidade conhecida. Entretanto, isso nem sempre foi 
assim. Para um historiador, os sepultamentos são uma 
fonte de informações importantes para que se 
compreenda, por exemplo, a vida política das sociedades.  
 
No que se refere às práticas sociais ligadas aos 
sepultamentos, 
A na Grécia Antiga, as cerimônias fúnebres eram 
desvalorizadas, porque o mais importante era a 
democracia experimentada pelos vivos.  
B na Idade Média, a Igreja tinha pouca influência sobre 
os rituais fúnebres, preocupando-se mais com a 
salvação da alma. 
C no Brasil colônia, o sepultamento dos mortos nas 
igrejas era regido pela observância da hierarquia 
social.  
D na época da Reforma, o catolicismo condenou os 
excessos de gastos que a burguesia fazia para 
sepultar seus mortos. 
E no período posterior à Revolução Francesa, devido as 
grandes perturbações sociais, abandona-se a prática 
do luto."
2013,1,QUESTÃO 29,"Seguiam-se vinte criados custosamente vestidos e 
montados em soberbos cavalos; depois destes, marchava 
o Embaixador do Rei do Congo magnificamente ornado 
de seda azul para anunciar ao Senado que a vinda do 
Rei estava destinada para o dia dezesseis. Em resposta 
obteve repetidas vivas do povo que concorreu alegre e 
admirado de tanta grandeza.
Coroação do Rei do Congo em Santo Amaro, Bahia apud DEL PRIORE, M. Festas e utopias 
no Brasil colonial. In: CATELLI JR., R. Um olhar sobre as festas populares brasileiras. 
São Paulo: Brasiliense, 1994 (adaptado).
Originária dos tempos coloniais, a festa da Coroação do 
Rei do Congo evidencia um processo de
A exclusão social.
B imposição religiosa.
C acomodação política.
D supressão simbólica.
E ressignificação cultural."
