ano,dia,n_questao,texto
2016,1,QUESTÃO 20,"Nunca nos tornaremos matemáticos, por exemplo, 
embora nossa memória possua todas as demonstrações 
feitas por outros, se nosso espírito não for capaz de 
resolver toda espécie de problemas; não nos tornaríamos 
Aristóteles, sem poder formular um juízo sólido sobre 
o que nos é proposto. Assim, de fato, pareceríamos ter 
aprendido, não ciências, mas histórias.
DESCARTES, R. Regras para a orientação do espírito. São Paulo: Martins Fontes, 1999.
Em sua busca pelo saber verdadeiro, o autor considera o 
conhecimento, de modo crítico, como resultado da
A investigação de natureza empírica.
B retomada da tradição intelectual.
C imposição de valores ortodoxos.
D autonomia do sujeito pensante.
E liberdade do agente moral."
2016,2,QUESTÃO 98,"TOZZI, C. Colcha de retalhos
www.arteforadomuseu.com.br. Acesso em: 8 mar. 2013.
Colcha de retalhos representa a essência do mural e 
convida o público a
A apreciar a estética do cotidiano.
B interagir com os elementos da composição.
C
D reconhecer a estética clássica das formas.
E contemplar a obra por meio da movimentação física."
2014,1,QUESTÃO 84,"Ao sintonizarmos uma estação de rádio ou um canal 
de TV em um aparelho, estamos alterando algumas 
características elétricas de seu circuito receptor. 
Das inúmeras ondas eletromagnéticas que chegam 
simultaneamente ao receptor, somente aquelas que 
oscilam com determinada frequência resultarão em 
máxima absorção de energia.
O fenômeno descrito é a
A difração.
B refração.
C polarização.
D interferência.
E ressonância."
2017,2,QUESTÃO 103,"Em uma linha de transmissão de informações por 
fibra óptica, quando um sinal diminui sua intensidade para 
valores inferiores a 10 dB, este precisa ser retransmitido. 
No entanto, intensidades superiores a 100 dB não podem 
ser transmitidas adequadamente. A figura apresenta 
como se dá a perda de sinal (perda óptica) para diferentes 
comprimentos de onda para certo tipo de fibra óptica.
Comprimento de onda (µm)
P
er
da
 ó
pt
ic
a 
(d
B
/k
m
)
0,8
1
2
3
4
5
6
0,9 1,0 1,1 1,2 1,3 1,4 1,5 1,6 1,7 1,8
Atenuação e limitações das fibras ópticas. Disponível em: www.gta.ufrj.br. 
Acesso em: 25 maio 2017 (adaptado).
Qual é a máxima distância, em km, que um sinal pode ser 
enviado nessa fibra sem ser necessária uma retransmissão?
A 6
B 18
C 60
D 90
E 100
*DO0725AZ5*"
2016,1,QUESTÃO 66,"A invenção e o acoplamento entre engrenagens 
revolucionaram a ciência na época e propiciaram a 
invenção de várias tecnologias, como os relógios.
Ao construir um pequeno cronômetro, um relojoeiro 
usa o sistema de engrenagens mostrado. De acordo 
as engrenagens fazendo o ponteiro girar. A frequência 
do motor é de 18 RPM, e o número de dentes das 
engrenagens está apresentado no quadro.
Engrenagem Dentes
A 24
B 72
C 36
D 108
A frequência de giro do ponteiro, em RPM, é
A 1.
B 2.
C 4.
D 81.
E 162.

*AZUL75SAB24*"
2015,2,QUESTÃO 172,"Alguns exames médicos requerem uma ingestão de 
água maior do que a habitual. Por recomendação médica, 
antes do horário do exame, uma paciente deveria ingerir 
1 copo de água de 150 mililitros a cada meia hora, durante 
as 10 horas que antecederiam um exame. A paciente foi 
garrafas dos seguintes tipos:
Garrafa I: 0,15 litro
Garrafa II: 0,30 litro
Garrafa III: 0,75 litro
Garrafa IV: 1,50 litro
Garrafa V: 3,00 litros
A paciente decidiu comprar duas garrafas do mesmo 
tipo, procurando atender à recomendação médica 
e, ainda, de modo a consumir todo o líquido das duas 
garrafas antes do exame.
Qual o tipo de garrafa escolhida pela paciente?
A I
B II
C III
D IV
E V
2015

*AMAR25DOM30*"
2018,2,QUESTÃO 174,"próximos do momento em que o número de transistores no 
processador de um computador pessoal será da mesma 
ordem de grandeza que o número de neurônios em um 
cérebro humano, que é da ordem de 100 bilhões.
Uma das grandezas determinantes para o desempenho 
de um processador é a densidade de transistores, que 
é o número de transistores por centímetro quadrado. 
Em 1986, uma empresa fabricava um processador 
contendo 100
centímetro quadrado que se pode colocar em um 
10
Em que ano a empresa atingiu ou atingirá a densidade de 
100 bilhões de transistores?
A 1999
B
C
D
E"
2018,1,QUESTÃO 17,"Aconteceu mais de uma vez: ele me abandonou. Como 
todos os outros. O quinto. A gente já estava junto há mais 
de um ano. Parecia que dessa vez seria para sempre. 
Mas não: ele desapareceu de repente, sem deixar rastro. 
mas só chamava, chamava, e ninguém atendia. E então 
A verdade é que nenhum telefone celular me suporta. 
Já tentei de todas as marcas e operadoras, apenas 
para descobrir que eles são todos iguais: na primeira 
oportunidade, dão no pé. Esse último aproveitou que eu 
estava distraído e não desceu do táxi junto comigo. Ou 
será que ele já tinha pulado do meu bolso no momento 
em que eu embarcava no táxi? Tomara que sim. Depois 
de fazer o que me fez, quero mais é que ele tenha ido 
parar na sarjeta. [...] Se ainda fossem embora do jeito 
que chegaram, tudo bem. [...] Mas já sei o que vou 
fazer. No caminho da loja de celulares, vou passar 
numa papelaria. Pensando bem, nenhuma das minhas 
agendinhas de papel jamais me abandonou.
FREIRE, R. Começar de novo. O Estado de S. Paulo
m de atrair a atenção do leitor 
A primeira pessoa do singular para imprimir subjetividade 
ao relato de mais uma desilusão amorosa.
B ironia para tratar da relação com os celulares na era 
de produtos altamente descartáveis.
C frases feitas na apresentação de situações amorosas 
estereotipadas para construir a ambientação do texto.
D quebra de expectativa como estratégia argumentativa 
para ocultar informações.
E verbos no tempo pretérito para enfatizar uma 
aproximação com os fatos abordados ao longo do texto."
2017,1,QUESTÃO 15,"Sítio Gerimum
Este é o meu lugar [...]
Meu Gerimum é com g
Você pode ter estranhado
Gerimum em abundância
Aqui era plantado
E com a letra g
Meu lugar foi registrado.
OLIVEIRA, H. D. Língua Portuguesa, n. 88, fev. 2013 (fragmento).
Nos versos de um menino de 12 anos, o emprego da 
palavra “Gerimum” grafada com a letra “g” tem por objetivo
A valorizar usos informais caracterizadores da norma 
nacional.
B  confirmar o uso da norma-padrão em contexto da 
linguagem poética.
C  enfatizar um processo recorrente na transformação 
da língua portuguesa.
D  registrar a diversidade étnica e linguística presente no 
território brasileiro.
E  reafirmar discursivamente a forte relação do falante 
com seu lugar de origem."
2017,2,QUESTÃO 136,"Um empréstimo foi feito à taxa mensal de i % ,  usando 
juros compostos, em oito parcelas fixas e iguais a P.
O devedor tem a possibilidade de quitar a dívida 
antecipadamente a qualquer momento, pagando 
para isso o valor atual das parcelas ainda a pagar. 
Após pagar a 5ª parcela, resolve quitar a dívida no ato 
de pagar a 6ª parcela.
A expressão que corresponde ao valor total pago pela 
quitação do empréstimo é
A P i i
1 1
1
100
1
1
100
2
+
+
+
+












( ) ( )
B P i i
1 1
1
100
1
1 2
100
+
+
+
+












( ) ( )
C
2 2
P
i i
1 1
1
100
1
1
100
+
+
+
+












( ) ( )
D P i i i
1
1
100
1
1 2
100
1
1 3
100
+
+
+
+
+












( ) ( ) ( )
E
2 3
P
i i i
1
1
100
1
1
100
1
1
100
+
+
+
+
+












( ) ( ) ( )"
2016,1,QUESTÃO 11,"TEXTO I
Disponível em: http://portal.iphan.gov.br. Acesso em: 6 abr. 2016.
TEXTO II
A eleição dos novos bens, ou melhor, de novas 
formas de se conceber a condição do patrimônio cultural 
nacional, também permite que diferentes grupos sociais, 
utilizando as leis do Estado e o apoio de especialistas, 
revejam as imagens e alegorias do seu passado, do que 
ABREU, M.; SOIHET, R.; GONTIJO, R. (Org.). Cultura política e leituras do passado:
. Rio de Janeiro: Civilização Brasileira, 2007.
O texto chama a atenção para a importância da proteção 
de bens que, como aquele apresentado na imagem, se 
A Artefatos sagrados.
B Heranças materiais.
C Objetos arqueológicos.
D Peças comercializáveis.
E Conhecimentos tradicionais."
2018,1,QUESTÃO 77,"A presunção de que a superfície das chapadas 
e chapadões representa uma velha peneplanície é 
corroborada pelo fato de que ela é coberta por acumulações 
cascalhos e seixos e pela ocorrência generalizada de 
concreções ferruginosas que formam uma crosta laterítica, 
denominada “canga”.
Qual tipo climático favorece o processo de alteração do 
solo descrito no texto?
A
B Subtropical, com baixas temperaturas.
C Temperado, com invernos frios e secos.
D Tropical, com sazonalidade das chuvas.
E Equatorial, com pluviosidade abundante."
2019,1,Questão 62,"A maior parte das agressões e manifestações 
discriminatórias contra as religiões de matrizes africanas 
ocorrem em locais públicos (57%). É na rua, na via pública, 
que tiveram lugar mais de 2/3 das agressões, geralmente 
em locais próximos às casas de culto dessas religiões. 
O transporte público também é apontado como um local 
em que os adeptos das religiões de matrizes africanas 
são discriminados, geralmente quando se encontram 
paramentados por conta dos preceitos religiosos.
REGO, L. F.; FONSECA, D. P. R.; GIACOMINI, S. M. 
. 
Rio de Janeiro: PUC-Rio, 2014.
As práticas descritas no texto são incompatíveis com a 
dinâmica de uma sociedade laica e democrática porque
A asseguram as expressões multiculturais.
B promovem a diversidade de etnias.
C falseiam os dogmas teológicos.
D estimulam os rituais sincréticos.
E restringem a liberdade de credo."
2016,2,QUESTÃO 160,"Uma liga metálica sai do forno a uma temperatura de 
Use 0,477 como aproximação para log10(3) e 1,041 
como aproximação para log10(11).
O tempo decorrido, em hora, até que a liga atinja 30 °C é 
mais próximo de
A 22.
B 50.
C 100.
D 200.
E 400."
2014,1,QUESTÃO 06,"da economia cafeeira se apresentava como se segue. 
A produção, que se encontrava em altos níveis, 
teria que seguir crescendo, pois os produtores 
haviam continuado a expandir as plantações até 
aquele momento. Com efeito, a produção máxima 
seria alcançada em 1933, ou seja, no ponto mais baixo 
1927-1928. Entretanto, era totalmente impossível obter 
estoques, pois o mercado internacional de capitais 
se encontrava em profunda depressão, e o crédito do 
governo desaparecera com a evaporação das reservas.
FURTADO, C. Formação econômica do Brasil. São Paulo: 
Cia. Editora Nacional, 1997 (adaptado). 
Uma resposta do Estado brasileiro à conjuntura 
econômica mencionada foi o(a)
A atração de empresas estrangeiras.
B reformulação do sistema fundiário.
C incremento da mão de obra imigrante.
D desenvolvimento de política industrial.
E
*AZUL75SAB3*
2014"
2014,1,QUESTÃO 77,"O estudo de compostos orgânicos permite aos 
responsáveis pelas características de cada substância 
descoberta. Um laboratório investiga moléculas quirais 
cuja cadeia carbônica seja insaturada, heterogênea e 
A fórmula que se enquadra nas características da 
molécula investigada é
A CH3–(CH)2–CH(OH)–CO–NH–CH3.
B CH3–(CH)2–CH(CH3)–CO–NH–CH3.
C CH3–(CH)2–CH(CH3)–CO–NH2.
D CH3–CH2–CH(CH3)–CO–NH–CH3.
E C6H5–CH2–CO–NH–CH3."
2012,1,QUESTÃO 164,"Em um blog de variedades, músicas, mantras 
e informações diversas, foram postados “Contos de 
Halloween”. Após a leitura, os visitantes poderiam opinar, 
assinalando suas reações em: “Divertido”, “Assustador” 
ou “Chato”. Ao final de uma semana, o blog registrou que 
500 visitantes distintos acessaram esta postagem.
O gráfico a seguir apresenta o resultado da enquete.
CONTOS DE HALLOWEEN
opinião dos visitantes
DIVERTIDO
ASSUSTADOR
CHATO
NÃO OPINARAM
15%
52%
12%
21%
0% 10% 20% 30% 40% 50% 60%
O administrador do blog irá sortear um livro entre os visitantes 
que opinaram na postagem “Contos de Halloween”.
Sabendo que nenhum visitante votou mais de uma vez, 
a probabilidade de uma pessoa escolhida ao acaso entre 
as que opinaram ter assinalado que o conto “Contos de 
Halloween” é “Chato” é mais aproximada por
A 0,09.
B 0,12.
C 0,14.
D 0,15.
E 0,18.
*amar25dom26*"
2016,2,QUESTÃO 106,"Até que ponto replicar conteúdo é crime? “A internet 
de pesquisas americano Social Science Research 
Council. “Há uma infraestrutura pequena para controlar 
quem é o dono dos arquivos que circulam na rede. Isso 
acabou com o controle sobre a propriedade e tem sido 
trabalho sem a autorização dos seus produtores pode, 
sim, ser considerado crime, mas nem sempre essa 
distribuição gratuita lesa os donos dos direitos autorais. 
Pelo contrário. Veja o caso do livro O alquimista, do 
escritor Paulo Coelho. Após publicar, para download
gratuito, uma versão traduzida da obra em seu blog,
Coelho viu as vendas do livro em papel explodirem.
BARRETO, J.; MORAES, M. A internet existe sem pirataria?
Veja, n. 2 308, 13 fev. 2013 (adaptado).
De acordo com o texto, o impacto causado pela internet 
propicia a
A banalização da pirataria na rede.
B adoção de medidas favoráveis aos editores.
C implementação de leis contra crimes eletrônicos.
D reavaliação do conceito de propriedade intelectual.
E ampliação do acesso a obras de autores reconhecidos."
2019,1,Questão 35,"No Brasil, a disseminação de uma expectativa de 
corpo com base na estética da magreza é bastante grande 
e apresenta uma enorme repercussão, especialmente, 
se considerada do ponto de vista da realização pessoal. 
Em pesquisa feita na cidade de São Paulo, aparecem os 
percentuais de 90% entre as mulheres pesquisadas que 
se dizem preocupadas com seu peso corporal, sendo 
que 95% se sentem insatisfeitas com “seu próprio corpo”.
SILVA, A. M. Corpo, ciência e mercado: reflexões acerca da gestação 
de um novo arquétipo da felicidade. Campinas: Autores Associados; 
Florianópolis: UFSC, 2001.
A preocupação excessiva com o “peso” corporal pode 
provocar o desenvolvimento de distúrbios associados 
diretamente à imagem do corpo, tais como
A anorexia e bulimia.
B ortorexia e vigorexia.
C ansiedade e depressão.
D sobrepeso e fobia social.
E sedentarismo e obesidade."
2013,1,QUESTÃO 27,"A felicidade é, portanto, a melhor, a mais nobre e a 
mais aprazível coisa do mundo, e esses atributos não 
devem estar separados como na inscrição existente 
em Delfos “das coisas, a mais nobre é a mais justa, 
e a melhor é a saúde; porém a mais doce é ter o que 
amamos”. Todos estes atributos estão presentes nas 
mais excelentes atividades, e entre essas a melhor, nós a 
identificamos como felicidade.
ARISTÓTELES. A Política. São Paulo: Cia. das Letras, 2010.
Ao reconhecer na felicidade a reunião dos mais excelentes 
atributos, Aristóteles a identifica como
A busca por bens materiais e títulos de nobreza.
B plenitude espiritual e ascese pessoal.
C finalidade das ações e condutas humanas.
D conhecimento de verdades imutáveis e perfeitas.
E expressão do sucesso individual e reconhecimento 
público."
