ano,dia,n_questao,texto
2014,2,QUESTÃO 157,"No Brasil há várias operadoras e planos de telefonia 
celular.
Uma pessoa recebeu 5 propostas (A, B, C, D e E) de 
planos telefônicos. O valor mensal de cada plano está 
em função do tempo mensal das chamadas, conforme 
70
60
50
40
30
20
10
0
0 10 20 30 40 50 60
Tempo mensal (em minutos)
E
D
C
B
A
Va
lo
r m
en
sa
l (
em
 re
ai
s)
Essa pessoa pretende gastar exatamente R$ 30,00 
por mês com telefone.
Dos planos telefônicos apresentados, qual é o mais 
vantajoso, em tempo de chamada, para o gasto previsto 
para essa pessoa?
A A
B B
C C
D D
E E"
2015,1,QUESTÃO 09,"Voz do sangue 
Palpitam-me
os sons do batuque 
e os ritmos melancólicos do blue.
Ó negro esfarrapado 
do Harlem 
ó dançarino de Chicago
ó negro servidor do South
Ó negro da África
negros de todo o mundo
Eu junto 
a minha pobre voz
os meus humildes ritmos.
Eu vos acompanho
pelas emaranhadas áfricas 
do nosso Rumo. 
Eu vos sinto
negros de todo o mundo
eu vivo a nossa história
meus irmãos.
Disponível em: www.agostinhoneto.org. Acesso em: 30 jun. 2015.
Nesse poema, o líder angolano Agostinho Neto, na 
década de 1940, evoca o pan-africanismo com o 
objetivo de
A
América e na África.
B reconhecer as desigualdades sociais entre os negros 
de Angola e dos Estados Unidos.
C descrever o quadro de pobreza após os processos de 
independência no continente africano.
D solicitar o engajamento dos negros estadunidenses 
na luta armada pela independência em Angola.
E conclamar as populações negras de diferentes países 
a apoiar as lutas por igualdade e independência."
2012,1,QUESTÃO 139,"Os hidrômetros são marcadores de consumo de 
água em residências e estabelecimentos comerciais. 
Existem vários modelos de mostradores de hidrômetros, 
sendo que alguns deles possuem uma combinação de um 
mostrador e dois relógios de ponteiro. O número formado 
pelos quatro primeiros algarismos do mostrador 
fornece o consumo em m3, e os dois últimos algarismos 
representam, respectivamente, as centenas e dezenas 
de litros de água consumidos. Um dos relógios de 
ponteiros indica a quantidade em litros, e o outro em 
décimos de litros, conforme ilustrados na figura a seguir.
1 000
Disponível em: www.aguasdearacoiaba.com.br (adaptado).
Considerando as informações indicadas na figura, o 
consumo total de água registrado nesse hidrômetro, em 
litros, é igual a
A 3 534,85.
B 3 544,20.
C 3 534 850,00.
D 3 534 859,35.
E 3 534 850,39.
*amar25dom19*"
2018,2,QUESTÃO 126,"Química Nova
Qual a fórmula estrutural do tensoativo persistente no ambiente mencionado no texto?
A
15 20
O
OH D
ClN+
B
SO
3
Na+
E
Cl
N+
C
SO
3
Na+
*DO0725AZ12*"
2017,1,QUESTÃO 90,"Figura 1
Recorte fotográfico de Maria 
Bonita, década de 1930.
Figura 2
 Traje de coleção de 
Zuzu Angel.
ABRAÃO, B. Disponível em: www.brasilcult.pro.br. 
 Acesso em: 18 maio 2013.
Disponível em: www.zuzuangel.com.br. 
Acesso em: 18 maio 2013.
Elaborada em 1969, a releitura contida na Figura 2 revela 
aspectos de uma trajetória e obra dedicadas à
A valorização de uma representação tradicional da 
mulher.
B  descaracterização de referências do folclore 
nordestino.
C  fusão de elementos brasileiros à moda da Europa.
D  massificação do consumo de uma arte local.
E  criação de uma estética de resistência.
*SA0175AZ31*

2017
RA
SC
UN
HO
DA
 RE
DA
ÇÃ
O
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Transcreva a sua Redação para a Folha de Redação.
*SA0175AZ32*"
2009,1,Questão 49,"A Idade Média é um extenso período da História 
do Ocidente cuja memória é construída e reconstruída 
segundo as circunstâncias das épocas posteriores. Assim, 
desde o Renascimento, esse período vem sendo alvo de 
diversas interpretações que dizem mais sobre o contexto 
histórico em que são produzidas do que propriamente 
sobre o Medievo.  
 
Um exemplo acerca do que está exposto no texto acima é  
A a associação que Hitler estabeleceu entre o III Reich e 
o Sacro Império Romano Germânico. 
B o retorno dos valores cristãos medievais, presentes 
nos documentos do Concílio Vaticano II. 
C a luta dos negros sul-africanos contra o apartheid 
inspirada por valores dos primeiros cristãos. 
D o fortalecimento político de Napoleão Bonaparte, que 
se justificava na amplitude de poderes que tivera 
Carlos Magno.  
E a tradição heroica da cavalaria medieval, que foi 
afetada negativamente pelas produções 
cinematográficas de Hollywood."
2017,2,QUESTÃO 171,"Pivô central é um sistema de irrigação muito usado 
na agricultura, em que uma área circular é projetada para 
receber uma estrutura suspensa. No centro dessa área, há 
uma tubulação vertical que transmite água através de um 
cano horizontal longo, apoiado em torres de sustentação, 
as quais giram, sobre rodas, em torno do centro do pivô, 
também chamado de base, conforme mostram as figuras. 
Cada torre move-se com velocidade constante.
BASE
T1
T2
T3
Um pivô de três torres (T1, T2 e T3) será instalado 
em uma fazenda, sendo que as distâncias entre torres 
consecutivas bem como da base à torre T1 são iguais a 
50 m. O fazendeiro pretende ajustar as velocidades das 
torres, de tal forma que o pivô efetue uma volta completa 
em 25 horas. Use 3 como aproximação para π.
Para atingir seu objetivo, as velocidades das torres T1, T2 
e T3 devem ser, em metro por hora, de
A 12 , 24 e 36.
B 6 , 12 e 18.
C  2 , 4 e 6.
D 300 , 1 200 e 2 700.
E 600 , 2 400 e 5 400.
*DO0725AZ28*"
2012,2,QUESTÃO 41,"Fugindo à luta de classes, a nossa organização 
sindical tem sido um instrumento de harmonia e de 
cooperação entre o capital e o trabalho. Não se limitou 
a um sindicalismo puramente “operário”, que conduziria 
certamente a luta contra o “patrão”, como aconteceu com 
outros povos.
FALCÃO, W. Cartas sindicais. In: Boletim do Ministério do Trabalho, Indústria e Comércio. 
Rio de Janeiro, 10 (85), set. 1941 (adaptado).
Nesse documento oficial, à época do Estado Novo (1937-
1945), é apresentada uma concepção de organização 
sindical que
A elimina os conflitos no ambiente das fábricas.
B limita os direitos associativos do segmento patronal.
C orienta a busca do consenso entre trabalhadores 
e patrões.
D proíbe o registro de estrangeiros nas entidades 
profissionais do país.
E desobriga o Estado quanto aos direitos e deveres da 
classe trabalhadora."
2018,1,QUESTÃO 10,"Quebranto
às vezes sou o policial que me suspeito
me peço documentos
e mesmo de posse deles
me prendo e me dou porrada
às vezes sou o porteiro 
não me deixando entrar em mim mesmo
a não ser 
pela porta de serviço
[...]
às vezes faço questão de não me ver
e entupido com a visão deles 
começo
fech
sendo o gesto que me nego
a pinga que me bebo e me embebedo
o dedo que me aponto
e denuncio
o ponto em que me entrego.
às vezes!...
CUTI. Negroesia
Na literatura de temática negra produzida no Brasil, 
é recorrente a presença de elementos que traduzem 
experiências históricas de preconceito e violência. 
No poema, essa vivência revela que o eu lírico
A incorpora seletivamente o discurso do seu opressor.
B
fortalecimento.
C
injustiças.
D sofre uma perda de identidade e de noção de 
pertencimento.
E acredita esporadicamente na utopia de uma 
sociedade igualitária."
2014,2,QUESTÃO 106,"Jornal Zero Hora, 2 mar. 2006.
Na criação do texto, o chargista Iotti usa criativamente um 
intertexto: os traços reconstroem uma cena de Guernica,
painel de Pablo Picasso que retrata os horrores e a 
destruição provocados pelo bombardeio a uma pequena 
cidade da Espanha. Na charge, publicada no período de 
linguagem verbal contribui para estabelecer um diálogo 
entre a obra de Picasso e a charge, ao explorar
A uma referência ao contexto, “trânsito no feriadão”, 
esclarecendo-se o referente tanto do texto de Iotti 
quanto da obra de Picasso.
B uma referência ao tempo presente, com o emprego 
da forma verbal “é”, evidenciando-se a atualidade do 
tema abordado tanto pelo pintor espanhol quanto pelo 
chargista brasileiro.
C um termo pejorativo, “trânsito”, reforçando-se a 
imagem negativa de mundo caótico presente tanto 
em Guernica quanto na charge.
D uma referência temporal, “sempre”, referindo-se 
à permanência de tragédias retratadas tanto em 
Guernica quanto na charge.
E uma expressão polissêmica, “quadro dramático”, 
remetendo-se tanto à obra pictórica quanto ao 
contexto do trânsito brasileiro."
2009,1,Questão 50,"A primeira metade do século XX foi marcada por 
conflitos e processos que a inscreveram como um dos 
mais violentos períodos da história humana.  
 
Entre os principais fatores que estiveram na origem dos 
conflitos ocorridos durante a primeira metade do século XX 
estão 
A a crise do colonialismo, a ascensão do nacionalismo e 
do totalitarismo.  
B o enfraquecimento do império britânico, a Grande 
Depressão e a corrida nuclear. 
C o declínio britânico, o fracasso da Liga das Nações e a 
Revolução Cubana. 
D a corrida armamentista, o terceiro-mundismo e o 
expansionismo soviético. 
E a Revolução Bolchevique, o imperialismo e a 
unificação da Alemanha."
2012,1,QUESTÃO 110,"E como manejava bem os cordéis de seus títeres, 
ou ele mesmo, títere voluntário e consciente, como 
entregava o braço, as pernas, a cabeça, o tronco, como 
se desfazia de suas articulações e de seus reflexos 
quando achava nisso conveniência. Também ele soubera 
apoderar-se dessa arte, mais artifício, toda feita de 
sutilezas e grosserias, de expectativa e oportunidade, 
de insolência e submissão, de silêncios e rompantes, 
de anulação e prepotência. Conhecia a palavra exata 
para o momento preciso, a frase picante ou obscena no 
ambiente adequado, o tom humilde diante do superior 
útil, o grosseiro diante do inferior, o arrogante quando 
o poderoso em nada o podia prejudicar. Sabia desfazer 
situações equívocas, e armar intrigas das quais se saía 
sempre bem, e sabia, por experiência própria, que a 
fortuna se ganha com uma frase, num dado momento, 
que este momento único, irrecuperável, irreversível, exige 
um estado de alerta para a sua apropriação.
RAWET, S. O aprendizado. In: Diálogo. Rio de Janeiro: GRD, 1963 (fragmento).
No conto, o autor retrata criticamente a habilidade do 
personagem no manejo de discursos diferentes segundo 
a posição do interlocutor na sociedade. A crítica à conduta 
do personagem está centrada
A na imagem do títere ou fantoche em que o personagem 
acaba por se transformar, acreditando dominar os 
jogos de poder na linguagem.
B na alusão à falta de articulações e reflexos do 
personagem, dando a entender que ele não possui o 
manejo dos jogos discursivos em todas as situações.
C no comentário, feito em tom de censura pelo autor, 
sobre as frases obscenas que o personagem emite 
em determinados ambientes sociais.
D nas expressões que mostram tons opostos nos 
discursos empregados aleatoriamente pelo personagem 
em conversas com interlocutores variados.
E no falso elogio à originalidade atribuída a esse 
personagem, responsável por seu sucesso no 
aprendizado das regras de linguagem da sociedade."
