ano,dia,n_questao,texto
2009,1,Questão 1,"A atmosfera terrestre é composta pelos gases 
nitrogênio (N2) e oxigênio (O2), que somam cerca de 99%, 
e por gases traços, entre eles o gás carbônico (CO2), vapor 
de água (H2O), metano (CH4), ozônio (O3) e o óxido nitroso 
(N2O), que compõem o restante 1% do ar que respiramos. 
Os gases traços, por serem constituídos por pelo menos 
três átomos, conseguem absorver o calor irradiado pela 
Terra, aquecendo o planeta. Esse fenômeno, que acontece 
há bilhões de anos, é chamado de efeito estufa. A partir da 
Revolução Industrial (século XIX), a concentração de 
gases traços na atmosfera, em particular o CO2, tem 
aumentado significativamente, o que resultou no aumento 
da temperatura em escala global. Mais recentemente, 
outro fator tornou-se diretamente envolvido no aumento da 
concentração de CO2 na atmosfera: o desmatamento.  
BROWN, I. F.; ALECHANDRE, A. S. Conceitos básicos sobre clima,  
carbono, florestas e comunidades. A.G. Moreira & S.  
Schwartzman. As mudanças climáticas globais e os  
ecossistemas brasileiros. Brasília: Instituto de Pesquisa 
Ambiental da Amazônia, 2000 (adaptado). 
Considerando o texto, uma alternativa viável para 
combater o efeito estufa é 
A reduzir o calor irradiado pela Terra mediante a 
substituição da produção primária pela industrialização 
refrigerada. 
B promover a queima da biomassa vegetal, responsável 
pelo aumento do efeito estufa devido à produção de 
CH4. 
C reduzir o desmatamento, mantendo-se, assim, o 
potencial da vegetação em absorver o CO2 da 
atmosfera. 
D aumentar a concentração atmosférica de H2O, 
molécula capaz de absorver grande quantidade de 
calor. 
E remover moléculas orgânicas polares da atmosfera, 
diminuindo a capacidade delas de reter calor."
2009,1,Questão 2,"Analise a figura. 
 
Disponível em: http//www.alcoologia.net. Acesso em: 15 jul. 2009 (adaptado). 
Supondo que seja necessário dar um título para essa 
figura, a alternativa que melhor traduziria o processo 
representado seria: 
A Concentração média de álcool no sangue ao longo do 
dia. 
B Variação da frequência da ingestão de álcool ao longo 
das horas. 
C Concentração mínima de álcool no sangue a partir de 
diferentes dosagens. 
D Estimativa de tempo necessário para metabolizar 
diferentes quantidades de álcool. 
E Representação gráfica da distribuição de frequência 
de álcool em determinada hora do dia."
2009,1,Questão 3,"Estima-se que haja atualmente no mundo 40 
milhões de pessoas infectadas pelo HIV (o vírus que causa 
a AIDS), sendo que as taxas de novas infecções 
continuam crescendo, principalmente na África, Ásia e 
Rússia. Nesse cenário de pandemia, uma vacina contra o 
HIV teria imenso impacto, pois salvaria milhões de vidas. 
Certamente seria um marco na história planetária e 
também uma esperança para as populações carentes de 
tratamento antiviral e de acompanhamento médico. 
TANURI, A.; FERREIRA JUNIOR, O. C. Vacina contra Aids: desafios e esperanças. Ciência 
Hoje (44) 26, 2009 (adaptado). 
Uma vacina eficiente contra o HIV deveria 
A induzir a imunidade, para proteger o organismo da 
contaminação viral. 
B ser capaz de alterar o genoma do organismo portador, 
induzindo a síntese de enzimas protetoras. 
C produzir antígenos capazes de se ligarem ao vírus, 
impedindo que este entre nas células do organismo 
humano. 
D ser amplamente aplicada em animais, visto que esses 
são os principais transmissores do vírus para os seres 
humanos. 
E estimular a imunidade, minimizando a transmissão do 
vírus por gotículas de saliva."
2009,1,Questão 4,"Em um experimento, preparou-se um conjunto de 
plantas por técnica de clonagem a partir de uma planta 
original que apresentava folhas verdes. Esse conjunto foi 
dividido em dois grupos, que foram tratados de maneira 
idêntica, com exceção das condições de iluminação, sendo 
um grupo exposto a ciclos de iluminação solar natural e 
outro mantido no escuro. Após alguns dias, observou-se 
que o grupo exposto à luz apresentava folhas verdes como 
a planta original e o grupo cultivado no escuro apresentava 
folhas amareladas. 
 
Ao final do experimento, os dois grupos de plantas 
apresentaram 
A os genótipos e os fenótipos idênticos. 
B os genótipos idênticos e os fenótipos diferentes. 
C diferenças nos genótipos e fenótipos. 
D o mesmo fenótipo e apenas dois genótipos diferentes. 
E o mesmo fenótipo e grande variedade de genótipos."
2009,1,Questão 5,"Na linha de uma tradição antiga, o astrônomo 
grego Ptolomeu (100-170 d.C.) afirmou a tese do 
geocentrismo, segundo a qual a Terra seria o centro do 
universo, sendo que o Sol, a Lua e os planetas girariam em 
seu redor em órbitas circulares. A teoria de Ptolomeu 
resolvia de modo razoável os problemas astronômicos da 
sua época. Vários séculos mais tarde, o clérigo e 
astrônomo polonês Nicolau Copérnico (1473-1543), ao 
encontrar inexatidões na teoria de Ptolomeu, formulou a 
teoria do heliocentrismo, segundo a qual o Sol deveria ser 
considerado o centro do universo, com a Terra, a Lua e os 
planetas girando circularmente em torno dele. Por fim, o 
astrônomo e matemático alemão Johannes Kepler (1571-
1630), depois de estudar o planeta Marte por cerca de 
trinta anos, verificou que a sua órbita é elíptica. Esse 
resultado generalizou-se para os demais planetas. 
 
A respeito dos estudiosos citados no texto, é correto 
afirmar que 
A Ptolomeu apresentou as ideias mais valiosas, por 
serem mais antigas e tradicionais. 
B Copérnico desenvolveu a teoria do heliocentrismo 
inspirado no contexto político do Rei Sol. 
C Copérnico viveu em uma época em que a pesquisa 
científica era livre e amplamente incentivada pelas 
autoridades.  
D Kepler estudou o planeta Marte para atender às 
necessidades de expansão econômica e científica da 
Alemanha. 
E Kepler apresentou uma teoria científica que, graças 
aos métodos aplicados, pôde ser testada e 
generalizada."
2009,1,Questão 6,"O ciclo biogeoquímico do carbono compreende 
diversos compartimentos, entre os quais a Terra, a 
atmosfera e os oceanos, e diversos processos que 
permitem a transferência de compostos entre esses 
reservatórios. Os estoques de carbono armazenados na 
forma de recursos não renováveis, por exemplo, o 
petróleo, são limitados, sendo de grande relevância que se 
perceba a importância da substituição de combustíveis 
fósseis por combustíveis de fontes renováveis. 
 
A utilização de combustíveis fósseis interfere no ciclo do 
carbono, pois provoca 
A aumento da porcentagem de carbono contido na 
Terra. 
B redução na taxa de fotossíntese dos vegetais 
superiores. 
C aumento da produção de carboidratos de origem 
vegetal. 
D aumento na quantidade de carbono presente na 
atmosfera. 
E redução da quantidade global de carbono armazenado 
nos oceanos."
2009,1,Questão 7,"Um novo método para produzir insulina artificial 
que utiliza tecnologia de DNA recombinante foi 
desenvolvido por pesquisadores do Departamento de 
Biologia Celular da Universidade de Brasília (UnB) em 
parceria com a iniciativa privada. Os pesquisadores 
modificaram geneticamente a bactéria Escherichia coli 
para torná-la capaz de sintetizar o hormônio. O processo 
permitiu fabricar insulina em maior quantidade e em 
apenas 30 dias, um terço do tempo necessário para obtê-la 
pelo método tradicional, que consiste na extração do 
hormônio a partir do pâncreas de animais abatidos. 
Ciência Hoje, 24 abr. 2001. Disponível em: http://cienciahoje.uol.com.br (adaptado). 
A produção de insulina pela técnica do DNA recombinante 
tem, como consequência, 
A o aperfeiçoamento do processo de extração de 
insulina a partir do pâncreas suíno. 
B a seleção de microrganismos resistentes a 
antibióticos.  
C o progresso na técnica da síntese química de 
hormônios. 
D impacto favorável na saúde de indivíduos diabéticos. 
E a criação de animais transgênicos."
2009,1,Questão 8,"A economia moderna depende da disponibilidade 
de muita energia em diferentes formas, para funcionar e 
crescer. No Brasil, o consumo total de energia pelas 
indústrias cresceu mais de quatro vezes no período entre 
1970 e 2005. Enquanto os investimentos em energias 
limpas e renováveis, como solar e eólica, ainda são 
incipientes, ao se avaliar a possibilidade de instalação de 
usinas geradoras de energia elétrica, diversos fatores 
devem ser levados em consideração, tais como os 
impactos causados ao ambiente e às populações locais. 
RICARDO, B.; CAMPANILI, M. Almanaque Brasil Socioambiental.  
São Paulo: Instituto Socioambiental, 2007 (adaptado).   
Em uma situação hipotética, optou-se por construir uma 
usina hidrelétrica em região que abrange diversas quedas 
d’água em rios cercados por mata, alegando-se que 
causaria impacto ambiental muito menor que uma usina 
termelétrica. Entre os possíveis impactos da instalação de 
uma usina hidrelétrica nessa região, inclui-se 
A a poluição da água por metais da usina. 
B a destruição do habitat de animais terrestres. 
C o aumento expressivo na liberação de CO2 para a 
atmosfera. 
D o consumo não renovável de toda água que passa 
pelas turbinas. 
E o aprofundamento no leito do rio, com a menor 
deposição de resíduos no trecho de rio anterior à 
represa."
2009,1,Questão 9,"As mudanças climáticas e da vegetação ocorridas 
nos trópicos da América do Sul têm sido bem 
documentadas por diversos autores, existindo um grande 
acúmulo de evidências geológicas ou paleoclimatológicas 
que evidenciam essas mudanças ocorridas durante o 
Quaternário nessa região. Essas mudanças resultaram em 
restrição da distribuição das florestas pluviais, com 
expansões concomitantes de habitats não-florestais 
durante períodos áridos (glaciais), seguido da expansão 
das florestas pluviais e restrição das áreas não-florestais 
durante períodos úmidos (interglaciais). 
Disponível em: http://zoo.bio.ufpr.br. Acesso em: 1 maio 2009. 
Durante os períodos glaciais, 
A as áreas não-florestais ficam restritas a refúgios 
ecológicos devido à baixa adaptabilidade de espécies 
não-florestais a ambientes áridos. 
B grande parte da diversidade de espécies vegetais é 
reduzida, uma vez que necessitam de condições 
semelhantes a dos períodos interglaciais. 
C a vegetação comum ao cerrado deve ter se limitado a 
uma pequena região do centro do Brasil, da qual se 
expandiu até atingir a atual distribuição. 
D plantas com adaptações ao clima árido, como o 
desenvolvimento de estruturas que reduzem a perda 
de água, devem apresentar maior área de distribuição. 
E florestas tropicais como a amazônica apresentam 
distribuição geográfica mais ampla, uma vez que são 
densas e diminuem a ação da radiação solar sobre o 
solo e reduzem os efeitos da aridez."
2009,1,Questão 10,"A fotossíntese é importante para a vida na Terra. 
Nos cloroplastos dos organismos fotossintetizantes, a 
energia solar é convertida em energia química que, 
juntamente com água e gás carbônico (CO2), é utilizada 
para a síntese de compostos orgânicos (carboidratos). A 
fotossíntese é o único processo de importância biológica 
capaz de realizar essa conversão. Todos os organismos, 
incluindo os produtores, aproveitam a energia armazenada 
nos carboidratos para impulsionar os processos celulares, 
liberando CO2 para a atmosfera e água para a célula por 
meio da respiração celular. Além disso, grande fração dos 
recursos energéticos do planeta, produzidos tanto no 
presente (biomassa) como em tempos remotos 
(combustível fóssil), é resultante da atividade fotossintética. 
 
As informações sobre obtenção e transformação dos 
recursos naturais por meio dos processos vitais de 
fotossíntese e respiração, descritas no texto, permitem 
concluir que 
A o CO2 e a água são moléculas de alto teor energético. 
B os carboidratos convertem energia solar em energia 
química. 
C a vida na Terra depende, em última análise, da 
energia proveniente do Sol. 
D o processo respiratório é responsável pela retirada de 
carbono da atmosfera. 
E a produção de biomassa e de combustível fóssil, por 
si, é responsável pelo aumento de CO2 atmosférico."
2009,1,Questão 11,"Para que todos os órgãos do corpo humano 
funcionem em boas condições, é necessário que a 
temperatura do corpo fique sempre entre 36 ºC e 37 ºC. 
Para manter-se dentro dessa faixa, em dias de muito calor 
ou durante intensos exercícios físicos, uma série de 
mecanismos fisiológicos é acionada.  
 
Pode-se citar como o principal responsável pela 
manutenção da temperatura corporal humana o sistema 
A digestório, pois produz enzimas que atuam na quebra 
de alimentos calóricos.  
B imunológico, pois suas células agem no sangue, 
diminuindo a condução do calor. 
C nervoso, pois promove a sudorese, que permite perda 
de calor por meio da evaporação da água. 
D reprodutor, pois secreta hormônios que alteram a 
temperatura, principalmente durante a menopausa. 
E endócrino, pois fabrica anticorpos que, por sua vez, 
atuam na variação do diâmetro dos vasos periféricos."
2009,1,Questão 12,"Sabões são sais de ácidos carboxílicos de 
cadeia longa utilizados com a finalidade de facilitar, 
durante processos de lavagem, a remoção de 
substâncias de baixa solubilidade em água, por 
exemplo, óleos e gorduras. A figura a seguir representa 
a estrutura de uma molécula de sabão. 
 
 Em solução, os ânions do sabão podem 
hidrolisar a água e, desse modo, formar o ácido 
carboxílico correspondente. Por exemplo, para o 
estearato de sódio, é estabelecido o seguinte equilíbrio: 
 
CH3(CH2)16COO–  +  H2O  CH3(CH2)16COOH  +  OH– 
 
 Uma vez que o ácido carboxílico formado é 
pouco solúvel em água e menos eficiente na remoção 
de gorduras, o pH do meio deve ser controlado de 
maneira a evitar que o equilíbrio acima seja deslocado 
para a direita.  
Com base nas informações do texto, é correto concluir 
que os sabões atuam de maneira 
A mais eficiente em pH básico. 
B mais eficiente em pH ácido. 
C mais eficiente em pH neutro. 
D eficiente em qualquer faixa de pH. 
E mais eficiente em pH ácido ou neutro."
2009,1,Questão 13,"A abertura e a pavimentação de rodovias em 
zonas rurais e regiões afastadas dos centros urbanos, 
por um lado, possibilita melhor acesso e maior 
integração entre as comunidades, contribuindo com o 
desenvolvimento social e urbano de populações 
isoladas. Por outro lado, a construção de rodovias pode 
trazer impactos indesejáveis ao meio ambiente, visto 
que a abertura de estradas pode resultar na 
fragmentação de habitats, comprometendo o fluxo 
gênico e as interações entre espécies silvestres, além 
de prejudicar o fluxo natural de rios e riachos, 
possibilitar o ingresso de espécies exóticas em 
ambientes naturais e aumentar a pressão antrópica 
sobre os ecossistemas nativos.  
BARBOSA, N. P. U.;  FERNANDES, G. W. A destruição do jardim. Scientific American 
Brasil. Ano 7, número 80, dez. 2008 (adaptado). 
 
Nesse contexto, para conciliar os interesses aparentemente 
contraditórios entre o progresso social e urbano e a 
conservação do meio ambiente, seria razoável  
A impedir a abertura e a pavimentação de rodovias em 
áreas rurais e em regiões preservadas, pois a qualidade 
de vida e as tecnologias encontradas nos centros urbanos 
são prescindíveis às populações rurais.   
B impedir a abertura e a pavimentação de rodovias em 
áreas rurais e em regiões preservadas, promovendo a 
migração das populações rurais para os centros urbanos, 
onde a qualidade de vida é melhor. 
C permitir a abertura e a pavimentação de rodovias apenas 
em áreas rurais produtivas, haja vista que nas demais 
áreas o retorno financeiro necessário para produzir uma 
melhoria na qualidade de vida da região não é garantido.  
D permitir a abertura e a pavimentação de rodovias, desde 
que comprovada a sua real necessidade e após a 
realização de estudos que demonstrem ser possível 
contornar ou compensar seus impactos ambientais. 
E permitir a abertura e a pavimentação de rodovias, haja 
vista que os impactos ao meio ambiente são temporários e 
podem ser facilmente revertidos com as tecnologias 
existentes para recuperação de áreas degradadas."
2009,1,Questão 14,"A eficiência de um processo de conversão de energia 
é definida como a razão entre a produção de energia ou 
trabalho útil e o total de entrada de energia no processo. A 
figura mostra um processo com diversas etapas. Nesse caso, 
a eficiência geral será igual ao produto das eficiências das 
etapas individuais. A entrada de energia que não se 
transforma em trabalho útil é perdida sob formas não 
utilizáveis (como resíduos de calor). 
 
 
HINRICHS, R. A. Energia e Meio Ambiente. São Paulo: Pioneira  
Thomson Learning, 2003 (adaptado). 
 
Aumentar a eficiência dos processos de conversão de energia 
implica economizar recursos e combustíveis. Das propostas 
seguintes, qual resultará em maior aumento da eficiência geral 
do processo? 
A Aumentar a quantidade de combustível para queima na 
usina de força.   
B Utilizar lâmpadas incandescentes, que geram pouco calor 
e muita luminosidade. 
C Manter o menor número possível de aparelhos elétricos 
em funcionamento nas moradias. 
D Utilizar cabos com menor diâmetro nas linhas de 
transmissão a fim de economizar o material condutor.   
E Utilizar materiais com melhores propriedades condutoras 
nas linhas de transmissão e lâmpadas fluorescentes nas 
moradias."
2009,1,Questão 15,"Para que apresente condutividade elétrica 
adequada a muitas aplicações, o cobre bruto obtido por 
métodos térmicos é purificado eletroliticamente. Nesse 
processo, o cobre bruto impuro constitui o ânodo da célula, 
que está imerso em uma solução de CuSO4. À medida que 
o cobre impuro é oxidado no ânodo, íons Cu2+ da solução 
são depositados na forma pura no cátodo. Quanto às 
impurezas metálicas, algumas são oxidadas, passando à 
solução, enquanto outras simplesmente se desprendem do 
ânodo e se sedimentam abaixo dele. As impurezas 
sedimentadas são posteriormente processadas, e sua 
comercialização gera receita que ajuda a cobrir os custos 
do processo. A série eletroquímica a seguir lista o cobre e 
alguns metais presentes como impurezas no cobre bruto 
de acordo com suas forças redutoras relativas.  
 
 
 
Entre as impurezas metálicas que constam na série 
apresentada, as que se sedimentam abaixo do ânodo de 
cobre são 
A Au, Pt, Ag, Zn, Ni e Pb. 
B Au, Pt e Ag. 
C Zn, Ni e Pb. 
D Au e Zn. 
E Ag e Pb."
2009,1,Questão 16,"A figura seguinte representa um modelo de transmissão da 
informação genética nos sistemas biológicos. No fim do 
processo, que inclui a replicação, a transcrição e a 
tradução, há três formas proteicas diferentes denominadas 
a, b e c. 
 
 
Depreende-se do modelo que 
A a única molécula que participa da produção de 
proteínas é o DNA. 
B o fluxo de informação genética, nos sistemas 
biológicos,  é unidirecional. 
C as fontes de informação ativas durante o processo de 
transcrição são as proteínas. 
D é possível obter diferentes variantes proteicas a partir 
de um mesmo produto de transcrição. 
E a molécula de DNA possui forma circular e as demais 
moléculas possuem forma de fita simples linearizadas."
2009,1,Questão 17,"O Brasil pode se transformar no primeiro país das 
Américas a entrar no seleto grupo das nações que 
dispõem de trens-bala. O Ministério dos Transportes prevê 
o lançamento do edital de licitação internacional para a 
construção da ferrovia de alta velocidade Rio-São Paulo. A 
viagem ligará os 403 quilômetros entre a Central do Brasil, 
no Rio, e a Estação da Luz, no centro da capital paulista, 
em uma hora e 25 minutos.  
Disponível em: http://oglobo.globo.com.  
Acesso em: 14 jul. 2009. 
Devido à alta velocidade, um dos problemas a ser 
enfrentado na escolha do trajeto que será percorrido pelo 
trem é o dimensionamento das curvas. Considerando-se 
que uma aceleração lateral confortável para os 
passageiros e segura para o trem seja de 0,1 g, em que g 
é a aceleração da gravidade (considerada igual a 10 m/s2), 
e que a velocidade do trem se mantenha constante em 
todo o percurso, seria correto prever que as curvas 
existentes no trajeto deveriam ter raio de curvatura mínimo 
de, aproximadamente, 
A 80 m. 
B 430 m. 
C 800 m. 
D 1.600 m. 
E 6.400 m."
2009,1,Questão 18,"O manual de instruções de um aparelho de ar-
condicionado apresenta a seguinte tabela, com dados 
técnicos para diversos modelos: 
 
Capacidade de 
refrigeração 
kW/(BTU/h) 
Potência 
(W) 
Corrente 
elétrica - 
ciclo frio 
(A) 
Eficiência 
energética 
COP (W/W) 
Vazão de 
ar (m3/h)
Frequência 
(Hz) 
3,52/(12.000) 1.193 5,8 2,95 550 60 
5,42/(18.000) 1.790 8,7 2,95 800 60 
5,42/(18.000) 1.790 8,7 2,95 800 60 
6,45/(22.000) 2.188 10,2 2,95 960 60 
6,45/(22.000) 2.188 10,2 2,95 960 60 
Disponível em: http://www.institucional.brastemp.com.br.  
Acesso em: 13 jul. 2009 (adaptado). 
Considere-se que um auditório possua capacidade para 
40 pessoas, cada uma produzindo uma quantidade média 
de calor, e que praticamente todo o calor que flui para fora 
do auditório o faz por meio dos aparelhos de ar-
condicionado. Nessa situação, entre as informações 
listadas, aquelas essenciais para se determinar quantos 
e/ou quais aparelhos de ar-condicionado são precisos para 
manter, com lotação máxima, a temperatura interna do 
auditório agradável e constante, bem como determinar a 
espessura da fiação do circuito elétrico para a ligação 
desses aparelhos, são  
A vazão de ar e potência. 
B vazão de ar e corrente elétrica - ciclo frio. 
C eficiência energética e potência. 
D capacidade de refrigeração e frequência. 
E capacidade de refrigeração e corrente elétrica - ciclo 
frio."
2009,1,Questão 19,"A instalação elétrica de uma casa envolve várias 
etapas, desde a alocação dos dispositivos, instrumentos e 
aparelhos elétricos, até a escolha dos materiais que a 
compõem, passando pelo dimensionamento da potência 
requerida, da fiação necessária, dos eletrodutos*, entre 
outras.  
 Para cada aparelho elétrico existe um valor de 
potência associado. Valores típicos de potências para 
alguns aparelhos elétricos são apresentados no quadro 
seguinte: 
 
Aparelhos Potência (W) 
Aparelho de som 120 
Chuveiro elétrico 3.000 
Ferro elétrico 500 
Televisor 200 
Geladeira 200 
Rádio 50 
*Eletrodutos são condutos por onde passa a fiação de uma instalação 
elétrica, com a finalidade de protegê-la. 
 
 A escolha das lâmpadas é essencial para 
obtenção de uma boa iluminação. A potência da lâmpada 
deverá estar de acordo com o tamanho do cômodo a ser 
iluminado. O quadro a seguir mostra a relação entre as 
áreas dos cômodos (em m2) e as potências das lâmpadas 
(em W), e foi utilizado como referência para o primeiro 
pavimento de uma residência. 
 
Potência da Lâmpada (W) Área do 
Cômodo (m2) Sala/copa
/cozinha 
Quarto, varanda e 
corredor Banheiro 
Até 6,0 60 60 60 
6,0 a 7,5 100 100 60 
7,5 a 10,5 100 100 100 
 
 
Obs.: Para efeitos dos cálculos das áreas, as paredes são 
desconsideradas. 
Considerando a planta baixa fornecida, com todos os 
aparelhos em funcionamento, a potência total, em watts, 
será de 
A 4.070. 
B 4.270. 
C 4.320. 
D 4.390. 
E 4.470."
2009,1,Questão 20,"O esquema mostra um diagrama de bloco de uma estação 
geradora de eletricidade abastecida por combustível fóssil. 
 
 
HINRICHS, R. A.; KLEINBACH, M. Energia e meio ambiente.  
São Paulo: Pioneira Thomson Learning, 2003 (adaptado). 
Se fosse necessário melhorar o rendimento dessa usina, 
que forneceria eletricidade para abastecer uma cidade, 
qual das seguintes ações poderia resultar em alguma 
economia de energia, sem afetar a capacidade de geração 
da usina? 
A Reduzir a quantidade de combustível fornecido à usina 
para ser queimado. 
B Reduzir o volume de água do lago que circula no 
condensador de vapor. 
C Reduzir o tamanho da bomba usada para devolver a 
água líquida à caldeira. 
D Melhorar a capacidade dos dutos com vapor 
conduzirem calor para o ambiente. 
E Usar o calor liberado com os gases pela chaminé para 
mover um outro gerador."
2009,1,Questão 21,"Os seres vivos apresentam diferentes ciclos de 
vida, caracterizados pelas fases nas quais gametas são 
produzidos e pelos processos reprodutivos que resultam 
na geração de novos indivíduos.  
 
Considerando-se um modelo simplificado padrão para 
geração de indivíduos viáveis, a alternativa que 
corresponde ao observado em seres humanos é: 
 
A 
 
B 
   
C 
   
D 
   
E 
  
 
Disponível em: www.infoescola.com (adaptado)."
2009,1,Questão 22,"Um medicamento, após ser ingerido, atinge a 
corrente sanguínea e espalha-se pelo organismo, mas, 
como suas moléculas “não sabem” onde é que está o 
problema, podem atuar em locais diferentes do local “alvo” 
e desencadear efeitos além daqueles desejados. Não seria 
perfeito se as moléculas dos medicamentos soubessem 
exatamente onde está o problema e fossem apenas até 
aquele local exercer sua ação? A técnica conhecida como 
iontoforese, indolor e não invasiva, promete isso. Como 
mostram as figuras, essa nova técnica baseia-se na 
aplicação de uma corrente elétrica de baixa intensidade 
sobre a pele do paciente, permitindo que fármacos 
permeiem membranas biológicas e alcancem a corrente 
sanguínea, sem passar pelo estômago. Muitos pacientes 
relatam apenas um formigamento no local de aplicação. O 
objetivo da corrente elétrica é formar poros que permitam a 
passagem do fármaco de interesse. A corrente elétrica é 
distribuída por eletrodos, positivo e negativo, por meio de 
uma solução aplicada sobre a pele. Se a molécula do 
medicamento tiver carga elétrica positiva ou negativa, ao 
entrar em contato com o eletrodo de carga de mesmo 
sinal, ela será repelida e forçada a entrar na pele 
(eletrorrepulsão - A). Se for neutra, a molécula será 
forçada a entrar na pele juntamente com o fluxo de 
solvente fisiológico que se forma entre os eletrodos 
(eletrosmose - B). 
 
 
 
GRATIERI, T; GELFUSO, G. M.; LOPES, R. F. V. Medicação do futuro-iontoforese facilita 
entrada de fármacos no organismo. Ciência Hoje, vol 44, no 259, maio 2009 (adaptado). 
De acordo com as informações contidas no texto e nas 
figuras, o uso da iontoforese 
A provoca ferimento na pele do paciente ao serem 
introduzidos os eletrodos, rompendo o epitélio. 
B aumenta o risco de estresse nos pacientes, causado 
pela aplicação da corrente elétrica. 
C inibe o mecanismo de ação dos medicamentos no 
tecido-alvo, pois estes passam a entrar por meio da 
pele. 
D diminui o efeito colateral dos medicamentos, se 
comparados com aqueles em que a ingestão se faz 
por via oral. 
E deve ser eficaz para medicamentos constituídos de 
moléculas polares e ineficaz, se essas forem apolares."
